,synonyms,analysis
37,Синонимы: МВ-изофермент креатинкиназы; КК-МВ; КФК-МВ; КК-2 Creatine Kinase-MB; CK-MB; СК-2;,"Креатинкиназа-МВ (Креатинфосфокиназа-МВ, КК-МВ, КФК-МВ, Creatine Kinase-MB, CK-MB, КК-2)"
38,Синонимы:Сывороточная холинэстераза; Холинэстераза II; Бутирилхолинэстераза;Butyrylcholinesterase.,"Холинэстераза (S-Псевдохолинэстераза, холинэстераза II, S-ХЭ, ацилхолин-ацилгидролаза, Cholinesterase)"
39,"Синонимы:ПГ I и II; пепсиноген 1, 2; ПГ-1, 2; Зимоген пепсина.","Пепсиногены  I и II с расчетом соотношения (294  Пепсиноген I, 295  Пепсиноген II, PG1PG2 Пепсиноген I/ Пепсиноген II)."
40,Синонимы:Анализ крови на пепсиноген; ПГ II; пепсиноген 2; ПГ-2.,Пепсиноген II (Pepsinogen II)
41,"Синонимы:Анализ крови на пепсиноген; Зимоген пепсина. PGI; PgI.Краткая характеристика определяемого вещества Пепсиноген IПепсиногены – неактивные предшественники (проферменты) основного пищеварительного фермента желудка – пепсина. Выделяют два вида пепсиногенов, которые несколько различаются по структуре и функциональным свойствам: пепсиноген I и пепсиноген II.Пепсиноген I продуцируется преимущественно железами слизистой оболочки дна желудка, пепсиноген II – также кардиальной, антральной и дуоденальной слизистой. Для пепсиногена I оптимальна высокая кислотность (рН = 1,5-2,0). Пепсиноген I секретируется в полость желудка, небольшое количество его может быть обнаружено в крови и моче. Уровень секреции пепсиногена I в просвет желудка определяется массой главных клеток желудка и контролируется гормоном гастрином. Главные клетки слизистой оболочки желудка также являются своеобразным хранилищем, где пепсиногены накапливаются в ожидании до начала процесса пищеварения. Блуждающий нерв, локальные рефлексы и гормон гастрин запускают высвобождение соляной кислоты и пепсиногена I из желез слизистой оболочки желудка при приеме пищи. Активируется пепсиноген соляной кислотой путем ограниченного протеолиза – отщеплением Ν-концевой части молекулы, при этом происходит формирование активного центра фермента. Первые порции образовавшегося пепсина стимулируют дальнейший процесс его аутокаталитической активации путем ограниченного протеолиза.Уровень пепсиногена I достоверно коррелирует с количеством главных клеток в слизистой оболочке тела желудка. Соответственно, потеря главных клеток приводит к линейному снижению пепсиногена I. Низкий уровень пепсиногена I свидетельствует об атрофических изменениях в теле желудка и позволяет предположить наличие атрофического гастрита. Высокий уровень пепсиногена I может наблюдаться при состояниях, связанных с повышением выработки кислоты в желудке – гастрите, язве двенадцатиперстной кишки (30-50% больных), хеликобактерной инфекции (подробнее см. ниже), гипергастринемии, гипертрофической гастропатии.Изменения уровня Пепсиногена I при гастритеИсследование уровня пепсиногенов в сыворотке крови используют для оценки состояния слизистой оболочки желудка. Известно, что в большинстве случаев развития рака желудка неотъемлемым этиологическим фактором является инфекция Helicobacter pylori и связанные с ней хронические воспалительные процессы, приводящие к атрофическим изменениям слизистой оболочки желудка (см. тесты №№133,176,177,484). Выраженный атрофический гастрит, являющийся важнейшим фактором риска развития рака желудка, может появиться, по крайней мере, у 10% людей, инфицированных H. pylori.Воспалительные процессы на фоне инфекции изначально вызывают повышение уровня пепсиногенов. Люди, инфицированные H. pylori, демонстрируют в среднем более высокие концентрации пепсиногенов I и II и сниженное соотношение пепсиногенов I/II. В результате хронического воспаления постепенное развитие атрофических изменений слизистой желудка (редукция желез дна желудка, снижение кислотности желудочного сока) приводит к градуальному снижению уровня пепсиногена I, в то время как уровень пепсиногена II остается длительное время достаточно стабильным. Как результат, постепенное снижение уровня пепсиногена I и уменьшение величины соотношения пепсиногенов I/II тесно коррелируют с прогрессией изменений от нормальной слизистой желудка до выраженного атрофического гастрита. Соотношение пепсиногенов I/II показывает более строгую взаимосвязь с гистологическими изменениями слизистой оболочки, чем изолированное измерение уровня пепсиногена I или II. Скрининговое исследование, направленное на оценку концентрации маркеров функционального состояния слизистой оболочки желудка (в том числе пепсиногены I, II и их соотношение), позволяет оценить риск наличия атрофических изменений и необходимость более углубленных исследований. Основным методом диагностики рака желудка являются эндоскопические исследования, с помощью которых выявляют признаки атрофических изменений слизистой желудка, окончательный диагноз устанавливают с помощью гистологического исследования проб, взятых во время эндоскопии. Подобные скрининговые программы широко используют в странах с высокой частотой рака желудка (в Китае, Тайване, Японии). По данным исследований, определение уровня пепсиногенов I и II и их соотношения показывает 58,7% чувствительность и 73,4% специфичность в выявлении случаев рака желудка, развивающихся на протяжении последующего 10-летнего периода наблюдения. Выявление предраковых атрофических изменений слизистой оболочки и рака желудка на ранней стадии дает возможность своевременно провести лечение и предотвратить дальнейшее развитие патологического процесса.С какой целью определяют уровень Пепсиногена I в сыворотке кровиОпределение уровня пепсиногена I в сыворотке крови, обычно в комплексе с пепсиногеном II (в качестве маркеров состояния слизистой оболочки желудка) используют для выявления атрофического гастрита и оценки риска рака желудка (см. также тесты №№2111,ГАСТР).",Пепсиноген I (Pepsinogen I)
42,Синонимы:Кофермент Q; Убихинон.,"Коэнзим Q10, плазма (Coenzyme Q10, CoQ10, plasma)"
43,Синонимы:Оценка окислительного стресса; Оценка оксидативного стресса.,"Антиоксидантный статус (Total antioxidant status, TAS)"
44,"Синонимы:Анализ крови на креатинин; Сывороточный креатинин; Креатинин сыворотки, оценка СКФ. Сreat; Сre; Blood Creatinine; Serum Creatinine; Serum Creat.",Креатинин (в крови) (Creatinine)
45,Синонимы:Анализ крови на скорость клубочковой фильтрации; СКФ; Скорость клубочковой фильтрации по креатинину.,"Клубочковая фильтрация, расчет по формуле CKD-EPI – креатинин (eGFR, Estimated Glomerular Filtration Rate, CKD-EPI creatinine equation)"
46,Синонимы:Диамид угольной кислоты; Карбамид; Мочевина в крови; Азот мочевины.,Мочевина (в крови) (Urea)
47,"Синонимы:Анализ крови на мочевую кислоту; Пурин-2,6,8-трион; Тригидроксипурин; 2,6,8-триоксипурин; Гетероциклический уреид мочевины.",Мочевая кислота (в крови) (Uric acid)
48,Синонимы:Цистатин 3.,Цистатин С (Cystatin C)
49,"Синонимы:Скорость клубочковой фильтрации (CKD-EPI, формула Шварца, дети, включает определение креатинина); Скорость клубочковой фильтрации для детей, расчет по формуле Шварца.","Скорость клубочковой фильтрации расчетная, по формуле Шварца (креатинин) для детей (рСКФ по формуле Шварца, 2009) (Estimated Glomerular Filtration Rate, eGFR for children, Schwartz 2009, «bedside» Schwartz equation)"
50,Синонимы:Оценка скорости клубочковой фильтрации (СКФ) по цистатину 3; Формула CKD-EPI с цистатином С.,"Клубочковая фильтрация, расчет по формуле CKD-EPI цистатин С (2012) (eGFR, Estimated Glomerular Filtration Rate, CKD-EPI cystatin C (2012) equation)"
51,"Синонимы:Анализ крови на электролиты; Электролиты в сыворотке крови. Electrolyte Panel; Serum electrolyte test; Sodium, Potassium, Chloride; Na/K/Cl.","Калий, натрий, хлор в сыворотке крови (К+, Potassium, Na+, Sodium, Сl-, Chloride, Serum)"
52,Синонимы:Анализ крови на общий кальций; Общий кальций в сыворотке. Total blood calcium; Total calcium; Blood total calcium test; Serum total calcium (tCa).,"Кальций общий (Ca, Calcium total)"
53,"Синонимы:Анализ крови на ионизированный кальций; Свободный кальций; Ионы кальция. Ionized Calcium Test; Calcium, Ionized Serum; Dialyzable Calcium; Calcium Free; Calcium Filterable; Сalcium Unbound.","Кальций ионизированный (Ca2+, свободный кальций, Free calcium, Ionized calcium)"
54,"Синонимы:Анализ крови на магний; Общий магний; Ионы магния. Serum Magnesium Test; Magnesium test; Magnesium, blood; Serum magnesium.","Магний в сыворотке (Magnesium, Serum; Мg)"
55,Синонимы:Анализ крови на фосфор; Неорганический фосфор в крови; Сывороточный фосфор; Сывороточный фосфат. Inorganic Phosphate; Phosphorus; Serum P; PO4; Phosphate.,"Фосфор неорганический в крови (Phosphorus, P)"
56,Синонимы:Анализ крови на железо; Сывороточное железо. Serum Iron; Serum Fe; Iron; Fe.,"Железо сыворотки (Iron, serum; Fe)"
57,"Синонимы:Анализ крови на витамин Д; Витамин Д; 25-гидроксивитамин D; 25-гидроксикальциферол. Холекальциферол и эргокальциферол. Vitamin D, 25-Hydroxy; 25-Hydroxycalciferol; 25-OH-D; calcidiol (25-hydroxy-vitamin D); calcifidiol (25-hydroxy-vitamin D); 25(OH)D, Cholecalciferol Metabolite, Vitamin D3 Metabolite.","25­OH витамин D (25­OH Vitamin D, 25(OH) D, 25­Hydroxycalciferol)"
58,Синонимы:Витамин В9; Фолацин; Птериолглутаминовая кислота.Vitamin B9; Vitamin Bc; Folic Acid; Folacin; Pteroylglutamic Acid.,Фолиевая кислота (Folic Acid)
59,Синонимы:Кобаламин; Цианокобаламин; Антианемический витамин.,"Витамин B12 (цианокобаламин, кобаламин, Cobalamin)"
60,Синонимы:Никотиновая кислота; Витамин РР; Противопеллагрический фактор; 3-пиридинкарбоновая кислота.,"Витамин В3 – никотинамид, плазма (Витамин PP, ниацин, Vitamin B3 – Nicotinamide, Niacinamide, plasma)"
61,Синонимы:Пантотеновая кислота; Антидерматитный фактор.,"Витамин В5 – пантотеновая кислота (Vitamin B5, Pantothenic acid)"
62,Синонимы:Пиридоксин; Адермин. Pyridoxal 5′-phosphate (PLP); Vitamin B6; Pyridoxal-5-Phosphate (P5P).,"Витамин B6, пиридоксаль-5-фосфат, плазма (Vitamin B6, Pyridoxal-5-Phosphate, PLP)"
63,Синонимы: Коэнзим R; Кофермент R.,"Витамин В7 – биотин (витамин H, Vitamin B7, Biotin, Vitamin H)"
64,Синонимы: Омега 3 полиненасыщенные жирные кислоты; Полиненасыщенные жирные кислоты; ПНЖК.,"Жирные кислоты, профиль: омега-3, -6, -9, плазма (Fatty acids panel, omega-3, -6, -9, plasma)"
65,Синонимы: Эргокальциферол и холекальциферол; Витамины D2 и D3; D2 и D3; 25-OH D2 и 25-ОН D3.,"Витамины D2 и D3 раздельное определение ВЭЖХ-МС/МС, сыворотка (25-Hydroxyvitamin D2 and D3, HPLC-MS/MS, serum)."
66,"Синонимы:1,25-дигидроксивитамин D, 1,25-дигидроксивитамин D3, кальцитриол. 1,25-dihydroxyvitamin D, 1,25(OH)2D, calcitriol.","1,25(OH)2D3 – 1,25-дигидроксивитамин D3 (1,25-dihydroxivitamin D3)"
67,Синонимы:Анализ крови на витамин К2.,"Витамин К2 (менахинон-4), сыворотка (менахинон MK-4, Vitamin K2, Menaquinone MK-4, serum)"
68,Синонимы:Анализ крови на витамин К2.,"Витамин К2 (менахинон-7), сыворотка (менахинон MK-7, Vitamin K2, Menaquinone MK-7, serum)"
69,Синонимы: Витамин В-2; Рибофлавин в плазме крови; Лактофлавин; Флавинадениндинуклеотид (ФАД).,"Витамин В2 – рибофлавин, плазма (Vitamin B2, Riboflavin, plasma)"
70,Синонимы:Тиамин-пирофосфат; Анеурин; старое название – Аневрин. B1; Vitamin F; Aneurin; Thiamine Diphosphate (TDP).,"Витамин В1 – тиамин, плазма (Vitamin B1, Thiamine, plasma)"
71,Синонимы:Холотранскобаламин; ХолоТК. B12;Vitamin B12; HoloTC.,"Активный витамин В12, Голотранскобаламин (Active-B12, Holotranscobalamin)"
72,Синонимы:Анализа крови на витамин А; Кровь на ретинол.,"Витамин А в сыворотке (ретинол, Vitamin A, Retinol, Serum)"
73,Синонимы:Токоферол. Tocopherol.,"Витамин Е в сыворотке (альфа-токоферол, Vitamin E, alpha-Tocopherol, Serum)"
74,"Синонимы:Антигеморрагический витамин; 2-метил-3-фитил-1,4-нафтохинон; Витамин коагуляции; Антигеморрагический витамин; Фитонадион.Phytonadione; Menaphthone; Vit K.","Витамин К1 в сыворотке (филлохинон, Vitamin K1, Phylloquinone, Serum)"
75,Синонимы:Индекс омега-3-полиненасыщенных жирных кислот (ПНЖК); Биомаркер омега-3-ПНЖК. n-3 FA biomarker; Omega-3 Index; Membrane concentrations of n-3 FAs (fatty acids); Erythrocyte eicosapentaenoic acid plus docosahexaenoic acid.,Омега-3 индекс (Omega-3 Index)
76,Синонимы:Анализ крови на витамин С; Аскорбиновая кислота в крови; L-аскорбиновая кислота. Ascorbate; L-Ascorbic Acid.,"Витамин С в плазме (аскорбиновая кислота, Vitamin C, Ascorbic Acid, Plasma)"
77,Синонимы: Вит.А пальмитат; Сывороточный ретинол пальмитат;,"Витамин А пальмитат в сыворотке (Ретинол пальмитат, ретинил пальмитат, Vitamin A Retinyl Palmitate, Retinol Palmitate, Serum)"
78,Синонимы: Провитамин А; β-каротин.,"Бета-каротин в сыворотке (Beta-carotene, Serum)"
79,Синонимы:Анализ крови на витамин К2.,"Витамин К2: МК-4 и МК-7, сыворотка (Vitamin K2: MK-4 and  MK-7, serum)"
80,"Синонимы:Переносчик железа; Сидерофилин. Siderophilin, Transferrin; Tf.","Трансферрин (Сидерофилин, Transferrin)"
81,Синонимы:Потенциальная способность сыворотки к связыванию железа.,"Латентная (ненасыщенная) железосвязывающая способность сыворотки крови (ЛЖСС, НЖСС, Unsaturated Iron Binding Capacity, UIBC)"
82,Синонимы:Анализ крови на ферритин; Депонированное железо; Индикатор запасов железа. Serum ferritin.,Ферритин (Ferritin)
83,Синонимы:Анализ крови на церулоплазмин; Ферроксидаза. Ceruloplasmin; CP; Ferroxidase.,Церулоплазмин (Coeruloplasmin)
84,Синонимы:Анализ крови на гаптоглобин.,Гаптоглобин (Haptoglobin)
85,Синонимы:Анализ крови на рецепторы трансферрина; Растворимые трансферриновые рецепторы.,"Растворимые рецепторы трансферрина (рТФР, Soluble Transferrin Receptor, sTfR)"
86,Синонимы: Маркер анемии хронических заболеваний.,"Гепсидин 25 (биоактивный) (Hepcidin 25, bioactive)"
87,Синонимы:Анализ крови на миоглобин; Сывороточный миоглобин; Мг.,Миоглобин (Myoglobin)
88,"Синонимы:Тн I вч; сердечный Тн I вч; сТн I вч. Tn I hs; cardiac-specific troponin I, high sensitivity; cTn I hs.","Тропонин-I, высокочувствительный (Troponin-I, high sensitivity, hs-TnI)"
89,Синонимы:Анализ крови на мозговой N-пропептид; Мозговой натрийуретический пропептид (МНП); N-терминальный фрагмент мозгового натрийуретического пептида; N-терминальный промозговой натрийуретический пептид; N-концевой пропептид натрийуретического гормона (В-типа). B-type natriuretic peptide; N-terminal pro b-type natriuretic peptide; Brain natriuretic peptide; proBNP; N-terminal proBNP.,"Натрийуретического гормона (В-типа) N-концевой пропептид (NT-proBNP, N-Terminal Pro-brain Natriuretic Peptide, Pro-B-Type Natriuretic Peptide)"
90,Синонимы:Анализ крови на эозинофильный катионный белок; ЭКБ.,"Эозинофильный катионный белок (Eosinophil Cationic Protein, ECP)"
91,Синонимы:Анализ крови на антистрептолизин-О; АСЛО. ASLO; AntiStrep; Antistreptolysin O Titer.,"Антистрептолизин-О (АСЛ-О, Antistreptolysin-O, ASO)"
92,"Синонимы:Анализ крови на СРБ; С-реактивный белок сыворотки крови.C-reactive Protein (CRP), quantitative; C-reactive protein test; CRP test.","С-реактивный белок (СРБ, CRP)"
93,Синонимы:АМГ (Альфа-2-макроглобулин); α2-макроглобулин; Макроглобулин Альфа-2.,"Альфа-2-макроглобулин (alpha-2-macroglobulin, a2-Macroglobulin, A2M, а2M)"
94,Синонимы:α1-антитрипсин концентрация; А1АТ концентрация.,"Альфа-1-антитрипсин, концентрация  (А1АТ, Alpha-1-Antitrypsin сoncentration, A1-Antitrypsin, A1A, AAT)"
95,"Синонимы:С-реактивный белок ультрачувствительный; СРБ кардио; High-sensitivity C-reactive protein (hs-CRP), quantitative; Cardio CRP; High-sensitivity CRP; Ultra-sensitive CRP.","Высокочувствительный С-реактивный белок (кардио), (СРБ высокочувствительный, high sensitivity CRP, hs-CRP)"
96,Синонимы:Анализ крови на прокальцитонин; ПКТ. Procalcitonin; PCT.,Прокальцитонин (Procalcitonin)
97,Синонимы:Эозинофильный катионный белок (ЭКБ); Эозинофильный катионный протеин (ЭКП).,"Эозинофильный катионный белок, ImmunoCAP® (Eosinophil Cationic Protein, ImmunoCAP® ECP)"
98,Синонимы:Анализ крови на остеокальцин; ОК; Маркер костного ремоделирования; N-остеокальцин; N-ОК.,"Остеокальцин (Osteocalcin, костный Gla белок, Bone Gla protein, BGP)"
99,Синонимы:C-телопептиды коллагена I типа.,"Beta-Cross laps (С-концевые телопептиды коллагена I типа, продукт деградации коллагена в результате костной резорбции, b-CrossLaps сыворотки крови, С-терминальный телопептид сыворотки, СТ, b-CrossLaps serum, b-СTx serum)"
100,Синонимы:N-терминальный пропептид проколлагена 1-го типа.,"Маркёр формирования костного матрикса P1NP (N-терминальный пропептид проколлагена 1 типа, Total P1NP)"
101,Синонимы:Уровень апиксабана (Эликвис).,"Апиксабан, концентрация (Apixaban Level)"
102,Синонимы:Уровень ривароксабана (Ксарелто).,"Ривароксабан, концентрация (Rivaroxaban Level)"
103,Синонимы:Апилепсин; Вальпарин ХР; Вальпроат натрия; Депакин; Депакот; Орфирил; Конвулекс; Конвульсофин; Энкорат.,"Вальпроевая кислота (Депакин, Конвулекс, Acidum Valproicum, Depakin, Convulexs)"
104,Синонимы:Актинервал; Загретол; Зептол; Карбадак; Карбапин; Карбалепсин; Карзепин; Мазепин; Стазепин; Сторилат; Тимонил; Финзепин; Эпиал. Actinerval; Carbapin; Carbalepsine; Carbatrol; Epitol; Equetro; Finlepsin; Finzepin; Zagretol; Zeptol; Mazepine; Stazepine; Tegretol; Tegretol-XR.,"Карбамазепин (Финлепсин, Тегретол, Сarbamazepine, Tegretol)"
105,Синонимы:Анализ крови на фенитоин; Дифентоин; Эпанутин; Гидантоинал; Содантон; Алепсин.,"Фенитоин (Дифенин, Дилантин, Phenytoin)"
106,Синонимы:Анализ крови на фенобарбитал; Дормирал; Седонал.,"Фенобарбитал (Люминал, Phenobarbitalum)"
107,Синонимы:Анализ крови на циклоспорин.,"Циклоспорин (Cyclosporine, Cyclosporine A, Sandimmune)"
108,"Синонимы: Лизодрен; Хлордитан; Орто-пара-ДДД; 1-Хлор-2-[2,2дихлор-1-(4-хлорфенил)этил]бензол.","Митотан, плазма крови (Mitotane, o, p′-DDD, plasma)"
109,Синонимы:Анализ крови на такролимус; Такролимус-Тева; Такропик. Tacrolimus; FK-506; Fujimycin; Tacrolimus-Teva; Tacropic.,"Такролимус (FK506, Адваграф, Програф, Протопик, Такросел (Advagraf, Prograf, Protopic, Tacrosel))"
110,Синонимы:Анализ крови на литий.,"Литий, сыворотка (Lithium, serum)"
111,Синонимы:Кеппра; Комвирон; Конвилепт; Летирам; Леветинол; Эпитерра; Эпитропил; Эпикепран. Epikepran; Epiterra; Epitropil; Komviron; Konvilept; Levetinol; Letiram; Levetiracetam; LEV.,"Леветирацетам (Levetiracetam, KeppraR)"
112,Синонимы:Анализ крови на ламотриджин; Конвульсан; Ламиктал; Ламептил; Ламитор; Ламолеп; Ламотрикс; Сейзар; Тригинет.,"Ламотриджин, лекарственный мониторинг (Lamotrigine)"
113,Синонимы: Афинитор; Сертикан.,Эверолимус (Everolimus)
114,Синонимы:Анализ мочи на каннабиноиды (марихуану; коноплю; каннабис; гашиш); тетрагидроканнабинол (ТГК); дельта-9-тетра-гидроканнабинол.,Каннабиноиды (марихуана) (Cannabinoids (marijuana))
115,"Синонимы:Опиаты в моче; Анализ мочи на опиаты; Опиаты: морфин, героин (6-МАМ), кодеин, дезоморфин, промедол; Определение морфина/героина в моче; Определение наркотических веществ в моче.","Опиаты (Opiates, urine)"
116,Синонимы:Анализ мочи на барбитураты; Барбитураты в моче.,"Барбитураты (Barbiturates, urine)"
117,Синонимы:Алкоголь (этанол) в моче; Анализ мочи на алкоголь; Определение этилового спирта в моче.,"Этанол (алкоголь), моча (Ethanol (alcohol), urine)"
118,Синонимы:Анализ крови на УДТ; Карбогидрат-дефицитный трансферрин; Углевод-дефицитный трансферрин.,"Углеводдефицитный трансферрин (УДТ, Carbohydrate-Deficient Trancferrin, CDT)"
119,"Синонимы:Комплексный анализ мочи «Вредные привычки»; комплексный анализ мочи на никотин, психотропные и наркотические вещества, психоактивные лекарственные препараты.","«Вредные привычки» (Анализ мочи на никотин, психотропные и наркотические вещества, психоактивные лекарственные препараты)"
120,Синонимы: Анализ мочи на наркотики и психотропы.,"Наркотики и психотропные вещества - скрининг (анализ мочи на опиаты, амфетамин, метамфетамин, кокаин, каннабиноиды  и их метаболиты)"
