,clinic_id,Клиника,Город,Улица,Дом,Телефоны,адрес,lat,lng
14,Хеликс,Helix,Минск, проспект Независимости, 44 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Независимости,  44 ",53.9354877,27.6631989
15,Хеликс,Helix,Минск, проспект Независимости, 91 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Независимости,  91 ",53.9234978,27.6091219
16,Хеликс,Helix,Минск, проспект Победителей, 73/1 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Победителей,  73/1 ",53.9054959,27.5533661
17,Хеликс,Helix,Минск, проспект Рокоссовского, 123б ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Рокоссовского,  123б ",53.8569768,27.6129982
18,Хеликс,Helix,Минск, улица Хоружей, 10/2 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Хоружей,  10/2 ",53.9228355,27.5595511
19,Хеликс,Helix,Минск, улица Воронянского, 40 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Воронянского,  40 ",53.8782741,27.5589595
20,Хеликс,Helix,Минск, улица Гамарника, 16A ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Гамарника,  16A ",53.9571188,27.6146087
21,Хеликс,Helix,Минск, улица Гинтовта, 12А ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Гинтовта,  12А ",53.9484794,27.6724134
22,Хеликс,Helix,Минск, улица Голубева, 19 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Голубева,  19 ",53.864599850000005,27.46985655
23,Хеликс,Helix,Минск, улица Ефросиньи Полоцкой, 1 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Ефросиньи Полоцкой,  1 ",54.0076141,28.119072
24,Хеликс,Helix,Минск, улица Космонавтов, 6 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Космонавтов,  6 ",53.8494079,27.4573273
25,Хеликс,Helix,Минск, улица Максима Танка, 2 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Максима Танка,  2 ",53.9085653,27.5320275
26,Хеликс,Helix,Минск, улица Матусевича, 58 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Матусевича,  58 ",53.9173608,27.4590495
27,Хеликс,Helix,Минск, улица Маяковского, 129A,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Маяковского,  129A",53.860632300000006,27.574912045227443
28,Хеликс,Helix,Минск, улица Петра Мстиславца, 13 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Петра Мстиславца,  13 ",53.9347771,27.6555645
29,Хеликс,Helix,Минск, улица Притыцкого, 77 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Притыцкого,  77 ",53.9052405,27.4578836
30,Хеликс,Helix,Минск, улица Притыцкого, 97 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Притыцкого,  97 ",53.9056491,27.4366327
31,Хеликс,Helix,Минск, улица Притыцкого, 97 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Притыцкого,  97 ",53.9056491,27.4366327
32,Хеликс,Helix,Минск, улица Прушинских, 7 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Прушинских,  7 ",53.8378301,27.5895895
33,Хеликс,Helix,Минск, улица Ратомская, 7 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Ратомская,  7 ",53.9419429,27.4594159
34,Хеликс,Helix,Минск, улица Свердлова, 26 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Свердлова,  26 ",53.8922418,27.5559953
35,Хеликс,Helix,Минск, улица Скрипникова, 1 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  улица Скрипникова,  1 ",53.8877207,27.4208918
36,Хеликс,Helix,Гомель, улица 60 лет СССР, 14А ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Гомель,  улица 60 лет СССР,  14А ",52.4082288,30.9873003
37,Хеликс,Helix,Гомель, улица Крестьянская, 1А ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Гомель,  улица Крестьянская,  1А ",52.4293005,31.0148688
38,Хеликс,Helix,Гомель, улица Мазурова, 44 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Гомель,  улица Мазурова,  44 ",52.4527899,31.023229
39,Хеликс,Helix,Гомель, улица Чапаева, 10A,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Гомель,  улица Чапаева,  10A",52.4568726,30.9659122
40,Синлаб,Синлаб,Минск, ул. Академическая, 26,"(017) 378-33-35, (017) 378-33-38","Минск,  ул. Академическая,  26",53.9097446,27.6095843
41,Синлаб,Синлаб,Минск, ул. Притыцкого, 158,"(017) 393-30-64, (017) 393-30-65 ","Минск,  ул. Притыцкого,  158",53.908157,27.4283862
42,Синлаб,Синлаб,Минск, ул. Неманская,3,"(017) 388-49-50, (017) 388-49-51  ","Минск,  ул. Неманская, 3",53.9096244,27.4208447
43,Синлаб,Синлаб,Минск, ул. Уманская, 54,(017) 220-49-23 ,"Минск,  ул. Уманская,  54",53.8753597,27.4979412
44,Синлаб,Синлаб,Минск, ул. Братская,6,"(017) 37-35-888, (017) 37-34-888, A1 (029) 634-53-59, МТС (029) 852-16-70","Минск,  ул. Братская, 6",53.8699738,27.5529504
45,Синлаб,Синлаб, Гомель, ул. Брестская, 2,"(0232) 20-86-73, (0232) 26-45-08, A1 (029) 149-05-50, МТС (029) 566-74-94"," Гомель,  ул. Брестская,  2",52.4127208,30.9494562
46,КВД,Минский клинический центр дерматовенерологии,Минск, ул. Прилукская,  46А,+375 17 372-74-29,"Минск,  ул. Прилукская,   46А",53.8833369,27.4978039
47,6-ГКБ,6-Я ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА,Минск, Уральская,5 ,(017) 377-09-37,"Минск,  Уральская, 5 ",53.9013673,27.6105031
48,Sante,Sante,Минск, ул. Тростенецкая, 3,"+375 17 342-82-82, +375 29 342-82-82, +375 33 342-82-82","Минск,  ул. Тростенецкая,  3",53.8866478,27.5799939
49,РЦМРиБ,Республиканский центр медицинской реабилитации и бальнеолечения,Минск, ул. Макаёнка, 17,"+375 17 215-27-70 (гор), +375 29 686-27-70 (А1), +375 29 249-97-70 (МТС), +375 29 765-09-76 (стоматология и косметология)","Минск,  ул. Макаёнка,  17",53.9176996,27.6275172
50,Медарт, Общество с ограниченной ответственностью «МедАрт» ,Минск, ул. Платонова, 1-Б,"+375 29 666 30 96, +375 33 666 30 96, +375 17 227 73 88","Минск,  ул. Платонова,  1-Б",53.9043041,27.5890626
51,Диаглаб," ООО ""ПрофЛабДиагностика""",Минск, ул. Семашко, д. 12А,"+375 (17) 270-07-60, +375 (29) 156-99-56","Минск,  ул. Семашко,  д. 12А",53.8583846,27.492407
52,Инвитро,Инвитро,Минск,Игуменский тракт,16 «Б».,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск, Игуменский тракт, 16 «Б».",53.8448078,27.5686851
53,Инвитро,Инвитро,Минск,Логойский тракт, 25,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск, Логойский тракт,  25",53.9533129,27.6183474
54,Инвитро,Инвитро,Минск,Партызанскі праспект, 107,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск, Партызанскі праспект,  107",53.8794505,27.6094783
55,Инвитро,Инвитро,Минск,Партызанскі праспект,54-17,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск, Партызанскі праспект, 54-17",53.8856618,27.5847382
56,Инвитро,Инвитро,Минск,проспект Рокоссовского, 5/1,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск, проспект Рокоссовского,  5/1",53.8742121,27.5981425
57,Инвитро,Инвитро,Минск, Газеты «Звязда», 23,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Газеты «Звязда»,  23",53.8670926,27.4720119
58,Инвитро,Инвитро,Минск, Дзержинского, 123,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Дзержинского,  123",53.8509284,27.476528
59,Инвитро,Инвитро,Минск, Дзержинского,94,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Дзержинского, 94",53.8653465,27.4855412
60,Инвитро,Инвитро,Минск, Независимости, 181.,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Независимости,  181.",53.9469694,27.6890744
61,Инвитро,Инвитро,Минск,. Независимости,109,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск, . Независимости, 109",53.897091,27.551203882653972
62,Инвитро,Инвитро,Минск, Победителей,127,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Победителей, 127",53.9403046,27.4678723
63,Инвитро,Инвитро,Минск, Победителей," 73, ","7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Победителей,  73, ",53.9297414,27.5102404
64,Инвитро,Инвитро,Минск,. Независимости, 40,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск, . Независимости,  40",53.897091,27.551203882653972
65,Инвитро,Инвитро,Минск, Брикета, 30,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Брикета,  30",53.90670765,27.413947537713558
66,Инвитро,Инвитро,Минск, Евфросиньи Полоцкой, 1,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Евфросиньи Полоцкой,  1",53.9073919,27.4737198
67,Инвитро,Инвитро,Минск, Иосифа Жиновича, 22,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Иосифа Жиновича,  22",53.9245514,27.4415972
68,Инвитро,Инвитро,Минск, Кунцевщина, 27.,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Кунцевщина,  27.",53.9114384,27.444141
69,Инвитро,Инвитро,Минск, Лейтенанта Кижеватова,7/2,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Лейтенанта Кижеватова, 7/2",53.8413631,27.5328532
70,Инвитро,Инвитро,Минск, Максима Танка,4,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Максима Танка, 4",53.9068455,27.5393462
71,Инвитро,Инвитро,Минск, Могилевская,14,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Могилевская, 14",53.8846533,27.5438445
72,Инвитро,Инвитро,Минск, Притыцкого,97,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Притыцкого, 97",53.9056491,27.4366327
73,Инвитро,Инвитро,Минск,  Есенина," 36, ","7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,   Есенина,  36, ",53.85132,27.454312
74,Инвитро,Инвитро,Минск,  Есенина, 60,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,   Есенина,  60",53.855659,27.445975
75,Инвитро,Инвитро,Минск, Скрыганова,4Б,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Скрыганова, 4Б",53.9099389,27.5195048
76,Инвитро,Инвитро,Минск, Сурганова,88.,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Сурганова, 88.",53.9314994,27.5784821
77,Инвитро,Инвитро,Минск, Сухаревская,46.,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Сухаревская, 46.",53.8887325,27.4267504
78,Инвитро,Инвитро,Минск, Ширмы,7,"7807 (А1, МТС, Life, звонок платный), +375 (17) 222-21-31","Минск,  Ширмы, 7",53.8782443,27.4578568
