,source,chapter,analysis_name,analysis_cost,analysis_comment
51,invitro.by,,"скорость клубочковой фильтрации расчетная, по формуле шварца креатинин для детей рскф по формуле шварца, 2009;",3.97,
52,invitro.by,,"клубочковая фильтрация, расчет по формуле ckd-epi цистатин с 2012 egfr, estimated glomerular filtration rate, ckd-epi cystatin c 2012 equation",40.04,
53,invitro.by,,"клубочковая фильтрация, расчет по формуле ckd-epi – креатинин egfr, estimated glomerular filtration rate, ckd-epi creatinine equation",4.09,
54,invitro.by,,цистатин с cystatin c,48.51,
55,invitro.by,,мочевина в моче,3.76,
56,invitro.by,,мочевая кислота в моче,3.61,
57,invitro.by,,проба реберга,3.28,
58,invitro.by,,креатинин в моче,3.28,
59,invitro.by,,мочевая кислота в крови,3.0,
60,invitro.by,,мочевина в крови,2.76,
61,invitro.by,,креатинин в крови,2.65,
62,invitro.by,,билирубин общий,2.83,
63,invitro.by,,"билирубин прямой билирубин конъюгированный, связанный",2.69,
64,invitro.by,,триглицериды,3.47,
65,invitro.by,,холестерол общий холестерин,4.2,
66,invitro.by,,холестерол-лпвп холестерин липопротеинов высокой плотности,4.33,
67,invitro.by,,холестерол-лпнп холестерин липопротеинов низкой плотности,3.47,
68,invitro.by,,аполипопротеин а1,6.67,
69,invitro.by,,аполипопротеин в,5.74,
70,invitro.by,,липопротеин a,27.09,
71,invitro.by,,"холестерин липопротеидов низкой плотности, прямой метод холестерин лпнп, прямой метод, ldl-cholesterol direct",3.47,
72,invitro.by,,"холестерин - лпонп холестерин липопротеинов очень низкой плотности, лпонп, vldl cholesterol",3.66,
73,invitro.by,,"коэнзим q10, плазма coenzyme q10, coq10, plasma",115.01,
74,invitro.by,,"пепсиногены i и ii с расчетом соотношения пепсиноген i/пепсиноген ii pepsinogen i/pepsinogen ii, pg1/pg2",58.0,
75,invitro.by,,пепсиноген ii,29.0,
76,invitro.by,,пепсиноген 1,29.0,
77,invitro.by,,"альфа-амилаза порционная/суточная моча диастаза, amylase, urine/24-h urine",5.91,
78,invitro.by,,фосфатаза щёлочная щф,3.58,
79,invitro.by,,холинэстераза,3.6,
80,invitro.by,,лдг лактатдегидрогеназа,4.1,
81,invitro.by,,липаза,4.66,
82,invitro.by,,креатинкиназа-мв,8.01,
83,invitro.by,,креатинкиназа,5.33,
84,invitro.by,,гамма-глутамилтранспептидаза ггт,2.59,
85,invitro.by,,альфа-амилаза панкреатическая,7.15,
86,invitro.by,,альфа-амилаза диастаза,4.8,
87,invitro.by,,асат аспартатаминотрансфераза,2.83,
88,invitro.by,,анализ на аланинаминотрансферазу — алт,2.77,
89,invitro.by,,витамин в7,74.27,
90,invitro.by,,витамин в2,74.27,
91,invitro.by,,витамин с,74.27,
92,invitro.by,,витамин в3,74.27,
93,invitro.by,,витамин в5,74.27,
94,invitro.by,,витамин b6,74.27,
95,invitro.by,,витамин в1,74.27,
96,invitro.by,,витамины d2 и d3,132.03,
97,invitro.by,,витамин е,64.06,
98,invitro.by,,"витамин а в сыворотке ретинол, vitamin a, retinol, serum",64.06,
99,invitro.by,,"витамин к1 в сыворотке филлохинон, vitamin k1, phylloquinone, serum",60.59,
100,invitro.by,,"активный витамин в12, голотранскобаламин active-b12, holotranscobalamin",52.32,
101,invitro.by,,"жирные кислоты, профиль: омега-3, -6, -9, плазма fatty acids panel, omega-3, -6, -9, plasma",215.08,
102,invitro.by,,омега-3 индекс omega-3 index,126.79,
103,invitro.by,,25-oh витамин d,37.01,
104,invitro.by,,фолиевая кислота,28.75,
105,invitro.by,,"витамин b12 цианокобаламин, кобаламин",29.44,
106,invitro.by,,"алюминий, волосы",12.71,
107,invitro.by,,"барий, волосы",12.71,
108,invitro.by,,"бериллий, волосы",12.71,
109,invitro.by,,"бор, волосы",12.71,
110,invitro.by,,"ванадий, волосы",12.71,
111,invitro.by,,"висмут, волосы",12.71,
112,invitro.by,,"вольфрам, волосы",12.71,
113,invitro.by,,"галлий, волосы",12.71,
114,invitro.by,,"германий, волосы germanium, hair; ge",12.71,
115,invitro.by,,"железо, волосы",12.71,
116,invitro.by,,железо сыворотки,3.38,
117,invitro.by,,"золото, волосы",12.71,
118,invitro.by,,йод i в моче,14.25,
119,invitro.by,,"йод, волосы",12.71,
120,invitro.by,,"кадмий, волосы",12.71,
121,invitro.by,,"калий, волосы",12.71,
122,invitro.by,,"калий, натрий, хлор",3.87,
123,invitro.by,,кальций ионизированный,8.91,
124,invitro.by,,кальций в моче,3.86,
125,invitro.by,,кальций общий,2.84,
126,invitro.by,,"кальций, волосы",12.71,
127,invitro.by,,"кобальт, волосы",12.71,
128,invitro.by,,"кремний, волосы",12.71,
129,invitro.by,,"лантан, волосы",12.71,
130,invitro.by,,"литий, волосы",12.71,
131,invitro.by,,"литий, сыворотка lithium, serum",30.03,
132,invitro.by,,"магний, волосы",12.71,
133,invitro.by,,магний,3.02,
134,invitro.by,,"марганец, волосы",12.71,
135,invitro.by,,"медь, волосы",12.71,
136,invitro.by,,"молибден, волосы",12.71,
137,invitro.by,,"мышьяк, волосы",12.71,
138,invitro.by,,"натрий, волосы",12.71,
139,invitro.by,,"никель, волосы",12.71,
140,invitro.by,,"олово, волосы",12.71,
141,invitro.by,,"платина, волосы",12.71,
142,invitro.by,,"ртуть, волосы",12.71,
143,invitro.by,,"рубидий, волосы",12.71,
144,invitro.by,,"свинец, волосы",12.71,
145,invitro.by,,"свинец, цельная кровь",14.25,
146,invitro.by,,"селен, волосы",12.71,
147,invitro.by,,"серебро, волосы",12.71,
148,invitro.by,,"стронций, волосы",12.71,
149,invitro.by,,"сурьма, волосы",12.71,
150,invitro.by,,"таллий, волосы",12.71,
151,invitro.by,,"фосфор, волосы",12.71,
152,invitro.by,,фосфор в моче,4.07,
153,invitro.by,,фосфор неорганический в крови,2.87,
154,invitro.by,,"хром, волосы chromium, hair; cr",12.71,
155,invitro.by,,"цинк, волосы",12.71,
156,invitro.by,,"цинк, сыворотка",14.25,
157,invitro.by,,"цирконий, волосы",12.71,
158,invitro.by,,"углеводдефицитный трансферрин удт, carbohydrate-deficient trancferrin, cdt",144.37,
159,invitro.by,,миоглобин myoglobin,14.01,
160,invitro.by,,"натриуретического гормона в-типа n-концевой пропептид nt-probnp, n-terminal pro-brain natriuretic peptide, pro-b-type natriuretic peptide",48.51,
161,invitro.by,,трансферрин сидерофилин,8.53,
162,invitro.by,,ферритин,21.48,
163,invitro.by,,гаптоглобин,14.11,
164,invitro.by,,прокальцитонин procalcitonin,52.32,
165,invitro.by,,ревматоидный фактор рф,9.67,
166,invitro.by,,с-реактивный белок срб,6.95,
167,invitro.by,,асл-о антистрептолизин–о,6.78,
168,invitro.by,,маркёр формирования костного матрикса p1np,37.64,
169,invitro.by,,beta-cross laps,39.21,
170,invitro.by,,остеокальцин,34.87,
171,invitro.by,,альфа-фетопротеин афп,19.31,
172,invitro.by,,пса общий,22.92,
173,invitro.by,,раково-эмбриональный антиген рэа,17.02,
174,invitro.by,,са 15-3 углеводный антиген 15-3,25.46,
175,invitro.by,,са-125 углеводный антиген 125,25.98,
176,invitro.by,,са 19-9 углеводный антиген 19-9,27.9,
177,invitro.by,,cа 72-4 углеводный антиген 72-4,25.63,
178,invitro.by,,cyfra-21-1 фрагмент цитокератина 19,34.67,
179,invitro.by,,нейро-специфическая энолаза nse,34.67,
180,invitro.by,,белок s100,55.05,
181,invitro.by,,"бета-2-микроглобулин в моче beta-2 microglobulin, urine",23.4,
182,invitro.by,,"биомаркеры рака простаты: pca3 и tmprss2-erg, моча prostate cancer biomarkers: pca3 and tmprss2-erg, urine",252.55,
183,invitro.by,,"ubc антиген рака мочевого пузыря, исследование растворимых фрагментов цитокератинов 8 и 18 в моче urine bladder cancer antigen",76.8,
184,invitro.by,,"бета-2-микроглобулин в крови beta-2 microglobulin, serum, bmg",38.37,
185,invitro.by,,"антиген плоскоклеточной карциномы squamous cell carcinoma antigen, scc, scca, scc ag",41.71,
186,invitro.by,,"ca-242 углеводный антиген са-242, опухолевый маркёр ca-242, cancer antigen 242, ca 242",32.47,
187,invitro.by,,roma2,88.54,
188,invitro.by,,"he4 human epididymis protein 4, белок 4 эпидидимиса человека",62.56,
189,invitro.by,,roma 1,88.54,
190,invitro.by,,"растворимые рецепторы трансферрина ртфр, soluble transferrin receptor, stfr",68.5,
191,invitro.by,,церулоплазмин coeruloplasmin,18.15,
192,invitro.by,,латентная ненасыщенная железосвязывающая способность сыворотки крови,6.01,
193,invitro.by,,вальпроевая кислота,18.89,
194,invitro.by,,"карбамазепин финлепсин, тегретол",16.82,
195,invitro.by,,"фенитоин дифенин, дилантин",119.12,
196,invitro.by,,эверолимус everolimus,132.03,
197,invitro.by,,"митотан, плазма крови mitotane, o, p′-ddd, plasma",97.7,
198,invitro.by,,"«вредные привычки» анализ мочи на никотин, психотропные и наркотические вещества, психоактивные лекарственные препараты никотин; психотропные и наркотические вещества, психоактивные лекарственные препараты pernicious habits: nicotine, drugs, psychostimulants and psychotropic substances, urine",78.21,
199,invitro.by,,"ламотриджин, лекарственный мониторинг lamotrigine",139.0,
200,invitro.by,,"такролимус адваграф, програф, протопик, такросел",19.69,
201,invitro.by,,"электрофорез белков мочи, определение типа протеинурии protein electrophoresis, urine",50.82,
202,invitro.by,,"тропонин-i, высокочувствительный troponin-i, high sensitivity, hs-tni",33.87,
203,invitro.by,,"альфа-1-антитрипсин, фенотипирование alpha-1-antitrypsin phenotyping",116.78,
204,invitro.by,,"альфа-1-антитрипсин, концентрация а1ат, alpha-1-antitrypsin сoncentration, a1-antitrypsin, a1a, aat",65.06,
205,invitro.by,,"высокочувствительный с-реактивный белок кардио, срб высокочувствительный, high sensitivity crp, hs-crp",4.87,
206,invitro.by,,"метаболиты эстрогенов и прогестерона, 24-ч моча estrogens and progesterone metabolites, 24-h urine",260.02,
207,invitro.by,,"стероидный профиль, слюна, 8 параметров тестостерон, дегидроэпиандростерон, андростендион, кортизол, кортизон, эстрадиол, прогестерон, 17-он-прогестерон",266.76,
208,invitro.by,,"соматотропный гормон соматотропин, стг",27.43,
209,invitro.by,,соматомедин-с инсулиноподобный фактор роста i,27.39,
210,invitro.by,,актг,36.77,
211,invitro.by,,кортизол гидрокортизон,22.13,
212,invitro.by,,"кортизол, слюна",15.62,
213,invitro.by,,"свободный кортизол в моче free cortisol, urine",22.8,
214,invitro.by,,трийодтиронин общий т3 общий,12.89,
215,invitro.by,,трийодтиронин свободный т3 свободный,13.61,
216,invitro.by,,тироксин общий т4 общий,12.03,
217,invitro.by,,тироксин свободный т4 свободный,14.19,
218,invitro.by,,"тиреотропный гормон ттг, тиротропин",13.76,
219,invitro.by,,антитела к тиреоглобулину ат-тг,23.46,
220,invitro.by,,"антитела к тиреоидной пероксидазе ат-тпо, микросомальные антитела",22.48,
221,invitro.by,,"тиреоглобулин thyroglobulin, tg",16.68,
222,invitro.by,,ат к рттг антитела к рецепторам ттг,32.67,
223,invitro.by,,паратиреоидный гормон паратгормон,30.81,
224,invitro.by,,кальцитонин,21.35,
225,invitro.by,,фолликулостимулирующий гормон фсг,19.38,
226,invitro.by,,лютеинизирующий гормон лг,20.92,
227,invitro.by,,пролактин,17.44,
228,invitro.by,,макропролактин macroprolactin,11.47,
229,invitro.by,,эстрадиол,19.82,
230,invitro.by,,прогестерон,20.0,
231,invitro.by,,тестостерон,20.22,
232,invitro.by,,дегидроэпиандростерон-сульфат дэа-s04,19.92,
233,invitro.by,,"глобулин, связывающий половые гормоны гспг",22.38,
234,invitro.by,,17-он прогестерон 17-оп,11.64,
235,invitro.by,,свободный тестостерон,12.47,
236,invitro.by,,андростендион,15.23,
237,invitro.by,,анти-мюллеров гормон,51.38,
238,invitro.by,,ингибин в,43.38,
239,invitro.by,,хорионический гонадотропин человека хгч,16.52,
240,invitro.by,,свободный эстриол е3,17.45,
241,invitro.by,,papp-a ассоциированный с беременностью протеин-а плазмы,43.38,
242,invitro.by,,свободная b-субъединица хорионического гонадотропина человека свободный b-хгч,31.76,
243,invitro.by,,плацентарный лактоген,25.89,
244,invitro.by,,маркеры риска преэклампсии,233.27,
245,invitro.by,,плацентарный фактор роста,120.12,
246,invitro.by,,sflt-1,115.51,
247,invitro.by,,с-пептид,29.47,
248,invitro.by,,инсулин,24.39,
249,invitro.by,,оценка инсулинорезистентности homa- ir,26.97,
250,invitro.by,,"метанефрины фракционированные свободные и конъюгированные, 24-часовая моча metanephrines fractionated, free and conjugated , 24-h urine",66.03,
251,invitro.by,,"катехоламины в плазме адреналин, норадреналин, дофамин",69.94,
252,invitro.by,,метанефрин в плазме,32.41,
253,invitro.by,,"метаболиты катехоламинов и серотонина, суточная моча: ванилилминдалевая кислота вмк, гомованилиновая кислота гвк, 5-гидроксииндолуксусная кислота",75.97,
254,invitro.by,,альдостерон кровь,29.86,
255,invitro.by,,ренин ренин плазмы - прямое определение,34.37,
256,invitro.by,,альдостерон-рениновое соотношение,64.23,
257,invitro.by,,лептин,34.8,
258,invitro.by,,гастрин-17 стимулированный,89.98,
259,invitro.by,,гастрин,52.62,
260,invitro.by,,эритропоэтин erythropoetin,58.42,
261,invitro.by,,нефрины в плазме крови,73.81,
262,invitro.by,,"серотонин сыворотки крови serotonin, serum",48.38,
263,invitro.by,,"гистамин плазмы histamine, plasma",70.4,
264,invitro.by,,"мелатонин, плазма melatonin, plasma",98.43,
265,invitro.by,,дигидротестостерон,36.7,
266,invitro.by,,"фно фактор некроза опухоли, tumor necrosis factor alpha, tnfalpha, саchectin",59.99,
267,invitro.by,,"антитела класса igg к внутреннему фактору кастла anti-intrinsic factor, ifab, intrinsic factor antibodies, igg",55.92,
268,invitro.by,,"антитела к париетальным клеткам желудка, igg parietal cell antibodies, pca, ig g",45.48,
269,invitro.by,,"активированные лимфоциты cd3+hla-dr+, cd3-hla dr+",34.07,
270,invitro.by,,"фенотипирование лимфоцитов основные субпопуляции - cd3, cd4, cd8, cd19, cd16,56",67.53,
271,invitro.by,,иммуноглобулины класса a iga,5.91,
272,invitro.by,,иммуноглобулины класса м igm,5.14,
273,invitro.by,,иммуноглобулины класса g igg,5.37,
274,invitro.by,,"подклассы иммуноглобулина g: igg1, igg2, igg3, igg4 subclasses of immunoglobulin g: igg1, igg2, igg3, igg4",274.14,
275,invitro.by,,"циркулирующие иммунные комплексы цик, circulating immune complex",28.73,
276,invitro.by,,"ингибитор с1-эстеразы, концентрация c1-esterase inhibitor, с1-inh, level",78.74,
277,invitro.by,,с4 компонент комплемента,9.24,
278,invitro.by,,с3 компонент комплемента,9.24,
279,invitro.by,,"компоненты системы комплемента с3, с4",17.72,
280,invitro.by,,фно фактор некроза опухоли,59.99,
281,invitro.by,,"интерлейкин-10 ил-10 interleukin 10, il-10",69.94,
282,invitro.by,,"интерлейкин-8 ил-8 interleukin 8, il-8",69.94,
283,invitro.by,,"интерлейкин-6 ил-6 interleukin 6, il-6",69.94,
284,invitro.by,,атопическая панель protia allerqy-q,238.57,
285,invitro.by,,респираторная панель protia allerqy-q,287.21,
286,invitro.by,,"аллергочип alex2 allergy explorer 2, до 300 аллерготестов",623.91,
287,invitro.by,,ige общий иммуноглобулин е общий,19.92,
288,invitro.by,,"фундук, ige hazelnut, ige, f17",26.46,
289,invitro.by,,"томаты, ige tomato, ige, f25",21.62,
290,invitro.by,,"соевые бобы, ige soybean, ige, f14",26.46,
291,invitro.by,,"сельдерей, ige celery, ige, f85",33.43,
292,invitro.by,,"пшеничная мука, ige wheat, ige, f4",24.02,
293,invitro.by,,"просо, ige common millet, ige, f55",21.79,
294,invitro.by,,"морковь, ige carrot, ige, f31",26.46,
295,invitro.by,,"манго, ige mango, ige, f91",33.43,
296,invitro.by,,"лимон, ige lemon, ige, f208",33.77,
297,invitro.by,,"креветки, ige shrimp, ige, f24",26.46,
298,invitro.by,,"крабы, ige crab, ige, f23",33.5,
299,invitro.by,,"картофель, ige potato, ige, f35",32.9,
300,invitro.by,,"грейпфрут, ige grapefruit, ige, f209",32.5,
301,invitro.by,,"бета-лактоглобулин, ige beta lactoglobulin, ige, f77",24.82,
302,invitro.by,,"баранина, ige lamb, ige, f88",40.57,
303,invitro.by,,"банан, ige banana, ige, f92",33.77,
304,invitro.by,,"арахис, ige peanut, ige, f13",24.62,
305,invitro.by,,"апельсин, ige orange, ige, f33",22.26,
306,invitro.by,,"ананас, ige pineapple, ige, f210",36.04,
307,invitro.by,,"волнистый попугай, перо, ige budgerigar feathers, ige, е78",33.63,
308,invitro.by,,"морская свинка, эпителий, ige guinea pig epithelium, ige, е6",33.3,
309,invitro.by,,"плесень alternaria tenuis, ige alternaria tenuis, ige, m6",23.69,
310,invitro.by,,"плесень aspergillus fumigatus, ige aspergillus fumigatus, ige, m3",26.46,
311,invitro.by,,"полынь обыкновенная, пыльца, ige mugwort, ige, w6",25.96,
312,invitro.by,,"тополь, ige cottonwood, ige, t14",32.7,
313,invitro.by,,"смесь аллергенов травы: колосок душистый, рожь многолетняя, тимофеевка, рожь культивированная, бухарник шерстистый, ige gp3 g1, g5, g6, g12, g13, grass panel: sweet vernal grass, perennial rye grass, timothy grass, cultivated rye grass, velvet grass, ige",36.27,
314,invitro.by,,специфические иммуноглобулины класса g igg к пищевым антигенам: food xplorer fox specific igg to food antigens: food xplorer fox,776.03,
315,invitro.by,,"иммуноглобулин e ige общий, сыворотка, immunocap total ige, immunocap",32.1,
316,invitro.by,,"одуванчик обыкновенный w8 ige, immunocap dandelion, taraxacum vulgare w8, ige, immunocap",42.11,
317,invitro.by,,"овсяница луговая g4 ige, immunocap meadow fescue, festuca elatior, ige, immunocap",50.15,
318,invitro.by,,"молоко козье f300, ige, immunocap goat's milk, ige, immunocap",45.44,
319,invitro.by,,"миндаль f20, ige, immunocap almond, amygdalus communis, ige, immunocap",42.11,
320,invitro.by,,"мандарин f302, ige, immunocap mandarins, citrus reticulata, ige, immunocap",45.44,
321,invitro.by,,"малина f343, ige, immunocap raspberry, rubus idaeus, ige, immunocap",45.44,
322,invitro.by,,"груша f94, ige, immunocap pear, pyrus communis, ige, immunocap",48.11,
323,invitro.by,,"вишня f242, ige, immunocap cherry, prunus avium, ige, immunocap",50.15,
324,invitro.by,,"чай листовой f222, ige, immunocap leaf tea, camellia sinensis, ige, immunocap",50.15,
325,invitro.by,,"кофе f221, ige, immunocap coffee, coffea spp, ige, immunocap",45.44,
326,invitro.by,,"грибы шампиньоны f212, ige, immunocap mushrooms, agaricus hortensis, ige, immunocap",50.15,
327,invitro.by,,"огурец f244, ige, immunocap cucumber, cucumis sativus, ige, immunocap",50.15,
328,invitro.by,,"соя, rgly m 4/pr-10 f353 рекомбинантный аллергокомпонент, ige, immunocap soy, glycine max, rgly m 4/pr-10 f353 ige, immunocap",98.26,
329,invitro.by,,"бычий сывороточный альбумин, nbos d6 bsa e204 ige, immunocap бса, cow, beef, bovine serum albumin, nbos d6 bsa e204 ige, immunocap",98.26,
330,invitro.by,,"alternaria alternate, ralt a 1 m229 ige, immunocap",98.26,
331,invitro.by,,"собака, рекомбинантный аллергокомпонент rcan f 2 e102 ige, immunocap dog, recombinant allergen rcan f 2 e102, ige, immunocap",83.28,
332,invitro.by,,"собака, рекомбинантный аллергокомпонент rcan f 1 e101, ige, immunocap dog, recombinant allergen rcan f 1 e101, ige, immunocap",83.28,
333,invitro.by,,"кошка, рекомбинантный аллергокомпонент rfel d 1 e94 ige, immunocap cat recombinant allergen rfel d 1 e94, ige, immunocap",101.87,
334,invitro.by,,"полынь обыкновенная, нативный аллергокомпонент nart v 3 w233, ige, immunocap mugwort лат artemisia vulgaris, native allergen nart v 3 w233, ige",83.28,
335,invitro.by,,"полынь обыкновенная, нативный аллергокомпонент nart v 1 w231, ige, immunocap mugwort лат artemisia vulgaris, native allergen nart v 1 w231, ige",93.83,
336,invitro.by,,"амброзия полыннолистная, нативный аллергокомпонент namb a 1 w230, ige, immunocap лат ambrosia elatior син a artemisiifolia; ragweed, native allergen namb a 1 w230, ige",83.28,
337,invitro.by,,"тимофеевка луговая, рекомбинантные аллергокомпоненты rphl p 7, rphl p 12 g214 ige, immunocap phleum pretense timothy grass allergen components rphl p 7, rphl p 12 g214, ige",93.83,
338,invitro.by,,"тимофеевка луговая, рекомбинантные аллергокомпоненты rphl p 1, rphl p 5 g213, ige, immunocap phleum pretense timothy grass allergen components – rphl p 1, rphl p 5 b, ige",93.83,
339,invitro.by,,"береза, рекомбинантный аллергокомпонент rbet v 2, rbet v 4 t221, ige immunocap birch, betula verrucosa, rbet v 2, rbet v 4 t221, ige",93.83,
340,invitro.by,,"береза, рекомбинантный аллергокомпонент rbet v 1 pr-10 t215, ige immunocap birch, betula verrucosa, rbet v 1 pr-10 t215, ige",83.28,
341,invitro.by,,"лизоцим яйца, ngal d 4 k208, ige, immunocap egg lysozyme, ngal d 4 k208 ige, immunocap",83.28,
342,invitro.by,,"овомукоид, ngal d 1 f233 ige, immunocap мукопротеид яичного белка, egg ovomucoid, ngal d 1 f233 ige, immunocap",83.28,
343,invitro.by,,"овальбумин, альбумин яичный, ngal d 2 f232 ige, immunocap egg, ovalbumin, ngal d 2 f232, ige, immunocap",60.59,
344,invitro.by,,"бета-лактоглобулин, нативный аллергокомпонент f77, nbos d 5, ige, immunocap f77, nbos d 5 beta-lactoglobulin, milk, ige",83.28,
345,invitro.by,,"альфа-лактальбумин, нативный аллергокомпонент молока f76, nbos d 4, ige, immunocap nbos d 4 α-lactalbumin, milk, ige",83.28,
346,invitro.by,,"казеин, нативный аллергокомпонент молока f78, nbos d 8, ige, immunocap f78, nbos d 8 casein, milk, ige",83.28,
347,invitro.by,,"овца, эпителий e81 ige, immunocap sheep, epithelium e81 ige, immunocap",42.11,
348,invitro.by,,"курица, перо e85 ige, immunocap англ chicken, лат gallus domesticus, feather e85, ige, immunocap",45.44,
349,invitro.by,,"смесь аллергенов домашней пыли hollister-stier lab h2, ige, immunocap house dust allergen hollister-stier lab h2, ige",42.11,
350,invitro.by,,"смесь аллергенов домашней пыли, greer h1, ige, immunocap house dust allergen, greer h1, ige",42.11,
351,invitro.by,,"клещ домашней пыли dermatophagoides farinaе d2, ige, immunocap house dust mite dermatophagoides farinaе d2, ige",51.52,
352,invitro.by,,"клещ домашней пыли dermatophagoides pterоnyssinus d1, ige, immunocap house dust mite dermatophagoides pterоnyssinus d1, ige",54.49,
353,invitro.by,,"собака, перхоть е5, ige, immunocap dog dander e5, ige",54.49,
354,invitro.by,,"кошка, перхоть e1, ige, immunocap cat dander e1, ige",54.49,
355,invitro.by,,"латекc k82 ige, immunocap latex k82 ige, immunocap",50.15,
356,invitro.by,,"пенициллина g аллерген – penicilloyl g c1 ige, immunocap penicillin g benzylpenicillin allergen – penicilloyl g c1 ige, immunocap",48.11,
357,invitro.by,,"комар i71 ige, immunocap англ mosquito, лат aedes communis i71 ige, immunocap",48.11,
358,invitro.by,,"смесь пищевых аллергенов fx15 состав смеси: апельсин, яблоко, банан, персик, ige, immunocap food allergen mix: f33, f49, f92, f95, orange, apple, banana, peach",66.43,
359,invitro.by,,"детская смесь пищевых аллергенов fx5, ige, immunocap: яичный белок, молоко, рыба, пшеница, арахис, соя infant food allergen ige, mix fx5: egg white, milk, fish, wheat, peanut, soybean – f1, f2, f3, f4, f13, f14",58.06,
360,invitro.by,,"ананас f210 ige, immunocap англ pineapple, лат ananas comosus f210 ige, immunocap",50.15,
361,invitro.by,,"киви f84 ige, immunocap англ kiwi, лат actinidia deliciosa f84 ige, immunocap",50.15,
362,invitro.by,,"креветка f24 ige, immunocap англ shrimp, лат pandalus borealis, penaeus monodon, metapenaeopsis barbata, metapenaus joyneri f24, ige, immunocap",40.27,
