,Unnamed: 0,source,chapter,analysis_name,analysis_cost,analysis_comment,best_match_synonym,best_match_analysis,similarity,clinic_id
13,13,invitro.by,,"лейкоцитарная формула дифференцированный подсчет лейкоцитов, лейкоцитограмма, differential white blood cell count с обязательной «ручной» микроскопией мазка крови",4.88,,дифференцированный подсчет лейкоцитов лейкоцитограмма соотношение различных форм лейкоцитов в крови дифференцированный подсчет лейкоцитов лейкограмма лейкоформула формула крови подсчет лейкоцитарной формулы differential white blood cell count wbc count differential leukocyte differential count peripheral differential wbc differential,"лейкоцитарная формула дифференцированный подсчет лейкоцитов, лейкоцитограмма, differential white blood cell count с обязательной «ручной» микроскопией мазка крови",1.0000000000000002,Инвитро
14,14,invitro.by,,"группа крови blood group, ав0 и резус-принадлежность rh-factor, rh",16.42,,анализ крови на резус-фактор резус-принадлежность резус-фактор крови резус rh rh type rh typing rh-factor rhesus factor,"резус­-принадлежность резус­фактор, rh­factor, rh",0.7327648118202693,Инвитро
15,15,invitro.by,,"rh c, e, c, e, kell – фенотипирование rh c, e, c, e, kell phenotyping",32.1,,"анализ крови на фенотип анализ крови на эритроцитарные антигены фенотипирование эритроцитов по антигенам c, e, c, e антигены системы kell","rh c, e, c, e, kell – фенотипирование rh c, e, c, e, kell phenotyping",1.0,Инвитро
16,16,invitro.by,,аллоиммунные антитела,26.47,,,,0.3807515109412904,Инвитро
17,17,invitro.by,,ачтв,8.86,,,,0.2503329091777485,Инвитро
18,18,invitro.by,,"протромбин, мно протромбиновое время",8.23,,анализ крови на протромбин протромбин протромбиновое время протромбиновый индекс международное нормализованное отношение мно фактор свертывания крови ii prothrombin pt protime inr international normalized ratio coagulation factor ii fii,"протромбин, мно протромбиновое время, pt, prothrombin, inr",0.7517401820769577,Инвитро
19,19,invitro.by,,тромбиновое время,8.52,,анализ на тромбиновое время тв антитромбин i,тромбиновое время thrombin time,0.7171777689376693,Инвитро
20,20,invitro.by,,фибриноген,9.55,,анализ крови на фибриноген фибриноген фактор i первый свертывающей системы плазмы fibrinogen fibrinogen activity and fibrinogen antigen assays factor i activity factor i fibrinogen activity functional fibrinogen fibrinogen antigen,фибриноген fibrinogen,0.7071067811865476,Инвитро
21,21,invitro.by,,d-димер,27.74,,фрагмент расщепления фибрина,d-димер d-dimer,0.7071067811865476,Инвитро
22,22,invitro.by,,антитромбин iii,16.4,,анализ крови на антитромбин ат3,"антитромбин iii, % активности ат iii, antithrombin iii, % activity",0.787449455882674,Инвитро
23,23,invitro.by,,волчаночный антикоагулянт,44.58,,аутоантитела igg против фосфолипидов,"волчаночный антикоагулянт ва, lupus anticoagulants, la",0.5828416375423235,Инвитро
24,24,invitro.by,,"фактор виллебранда, антиген von willebrand factor, vwf, antigen",56.32,,"фактор фон виллебранда, антиген антиген фактора виллебранда","фактор виллебранда, антиген von willebrand factor, vwf, antigen",1.0,Инвитро
25,25,invitro.by,,"фактор свертывания ix, активность, % fix активность, фактор кристмаса, coagulation factor ix activity, %, christmas factor",27.39,,фактор свертывания крови ix антигемофильный глобулин b,"фактор свертывания ix, активность, % fix активность, фактор кристмаса, coagulation factor ix activity, %, christmas factor",1.0000000000000002,Инвитро
26,26,invitro.by,,"фактор viii, активность % factor viii, fviii, activity %",24.79,,фактор свертывания viii антигемофилический фактор агф антигемофильный глобулин,"фактор viii, активность % factor viii, fviii, activity %",1.0,Инвитро
27,27,invitro.by,,"анти-ха активность, ме/мл гепарин, концентрация, anti-xa activity, iu/ml, heparin concentration, iu/ml",49.92,,активность xa анти-xa,"анти-ха активность, ме/мл гепарин, концентрация, anti-xa activity, iu/ml, heparin concentration, iu/ml",1.0,Инвитро
28,28,invitro.by,,протеин s свободный protein s,111.24,,анализ крови на протеин с активность протеина c % пс % активности protein c pc coagulation protein с protein c % activity,"протеин c, % активности protein c, % activity",0.612674789327087,Инвитро
29,29,invitro.by,,"протеин c, % активности protein c, % activity",85.55,,анализ крови на протеин с активность протеина c % пс % активности protein c pc coagulation protein с protein c % activity,"протеин c, % активности protein c, % activity",1.0000000000000002,Инвитро
30,30,invitro.by,,"хромогранин а chromogranin a, cga",50.52,,анализ крови на хромогранин а хга chromogranin a cga serum chromogranin a,"хромогранин а chromogranin a, cga",1.0,Инвитро
31,31,invitro.by,,глюкоза в крови,2.58,,"анализ крови на глюкозу глюкоза в плазме или сыворотке крови сахар крови глюкоза в крови анализ глюкозы в крови натощак анализ сахара в крови glucose, plasma or serum fasting blood glucose fbg fasting plasma glucose blood glucose blood sugar fasting blood sugar fbs",глюкоза в крови glucose,0.7372075041910149,Инвитро
32,32,invitro.by,,глюкоза в моче,3.59,,,,0.5118925454322499,Инвитро
33,33,invitro.by,,фруктозамин,25.06,,анализ крови на фруктозамин гликозилированный белок сыворотки,фруктозамин fructosamine,0.7071067811865476,Инвитро
34,34,invitro.by,,гликированный гемоглобин,27.48,,анализ крови на гликированный гемоглобин glycohemoglobin hba1c hemoglobin a1c a1c hgba1c hb1c,"гликированный гемоглобин hba1с, glycated hemoglobin",0.6287183240409595,Инвитро
35,35,invitro.by,,глюкозо-толерантный тест с определением глюкозы из плазмы,5.04,,,,0.5077622551110124,Инвитро
36,36,invitro.by,,глюкозотолерантный тест с определением глюкозы и с-пептида в венозной крови натощак и после нагрузки через 2 часа,62.58,,анализ крови на толерантность к глюкозе с с-пептидом пероральный глюкозотолерантный тест с с-пептидом тест на толерантность к глюкозе с с-пептидом,глюкозотолерантный тест с определением глюкозы и с-пептида в венозной крови натощак и через 2 часа после углеводной нагрузки,0.957470734612302,Инвитро
37,37,invitro.by,,лактат,6.67,,,,0.5238072670041473,Инвитро
38,38,invitro.by,,глюкозотолерантный тест при беременности,7.56,,анализ крови на гтб при беременности пероральный глюкозотолерантный тест пгтт тест на толерантность к глюкозе проба с 75 граммами глюкозы,глюкозотолерантный тест при беременности,1.0,Инвитро
39,39,invitro.by,,"аминокислоты мочи, 31 показатель amino acids, random urine",232.26,,количественное исследование аминокислот мочи аминоацидурия aminoaciduria,"аминокислоты мочи, 31 показатель amino acids, random urine",1.0000000000000002,Инвитро
40,40,invitro.by,,"аминокислоты в плазме крови, 48 показателей amino acids analysis, plasma, 48 parameters",235.3,,aнализ крови на аминокислоты 48 аналитов,"аминокислоты в плазме крови, 48 показателей amino acids analysis, plasma, 48 parameters",1.0000000000000002,Инвитро
41,41,invitro.by,,"аминокислоты в плазме крови, скрининговое исследование 13 показателей amino acids analysis, plasma, 13 parameters",136.97,,aнализ крови на аминокислоты 13 аналитов,"аминокислоты в плазме крови, скрининговое исследование 13 показателей amino acids analysis, plasma, 13 parameters",1.0,Инвитро
42,42,invitro.by,,"м-градиент, типирование электрофорез сыворотки крови и иммунофиксация с панелью антисывороток igg/a/m/каппа/лямбда c количественной оценкой м-градиента",92.72,,электрофоретическое разделение белков сыворотки крови клинический электрофорез и иммунофиксация парапротеины м-градиент в сыворотке крови,"м-градиент, типирование электрофорез сыворотки крови и иммунофиксация с панелью антисывороток igg/a/m/каппа/лямбда c количественной оценкой м-градиента",1.0000000000000002,Инвитро
43,43,invitro.by,,"м-градиент, скрининг электрофорез сыворотки и иммунофиксация с поливалентной антисывороткой и количественной оценкой м-градиента",47.41,,"скрининг парапротеинов в сыворотке, иммунофиксация м-градиента","м-градиент, скрининг электрофорез сыворотки и иммунофиксация с поливалентной антисывороткой и количественной оценкой м-градиента",1.0000000000000002,Инвитро
44,44,invitro.by,,общий белок в крови,2.86,,общий белок сыворотки крови общий сывороточный белок,общий белок в крови protein total,0.7549117917929777,Инвитро
45,45,invitro.by,,альбумин в крови,2.71,,,,0.3166246814315049,Инвитро
46,46,invitro.by,,альбумин в моче albumin,4.07,,,,0.4712204289634443,Инвитро
47,47,invitro.by,,общий белок в моче,2.83,,анализ суточной мочи на белок белок в моче,общий белок суточная моча protein total,0.6568237421338323,Инвитро
48,48,invitro.by,,гомоцистеин,38.14,,общий гомоцистеин плазмы hcy plasma total homocysteine,гомоцистеин homocysteine,0.7071067811865476,Инвитро
49,49,invitro.by,,белковые фракции,6.05,,электрофорез белков сыворотки spep,"белковые фракции serum protein electrophoresis, spe",0.6512641514200215,Инвитро
50,50,invitro.by,,метаболический синдром,17.41,,,,0.2445722454804154,Инвитро
51,51,invitro.by,,"скорость клубочковой фильтрации расчетная, по формуле шварца креатинин для детей рскф по формуле шварца, 2009;",3.97,,"скорость клубочковой фильтрации ckd-epi, формула шварца, дети, включает определение креатинина скорость клубочковой фильтрации для детей, расчет по формуле шварца","скорость клубочковой фильтрации расчетная, по формуле шварца креатинин для детей рскф по формуле шварца, 2009 estimated glomerular filtration rate, egfr for children, schwartz 2009, «bedside» schwartz equation",0.7756572177202945,Инвитро
52,52,invitro.by,,"клубочковая фильтрация, расчет по формуле ckd-epi цистатин с 2012 egfr, estimated glomerular filtration rate, ckd-epi cystatin c 2012 equation",40.04,,оценка скорости клубочковой фильтрации скф по цистатину 3 формула ckd-epi с цистатином с,"клубочковая фильтрация, расчет по формуле ckd-epi цистатин с 2012 egfr, estimated glomerular filtration rate, ckd-epi cystatin c 2012 equation",1.0,Инвитро
53,53,invitro.by,,"клубочковая фильтрация, расчет по формуле ckd-epi – креатинин egfr, estimated glomerular filtration rate, ckd-epi creatinine equation",4.09,,анализ крови на скорость клубочковой фильтрации скф скорость клубочковой фильтрации по креатинину,"клубочковая фильтрация, расчет по формуле ckd-epi – креатинин egfr, estimated glomerular filtration rate, ckd-epi creatinine equation",1.0,Инвитро
54,54,invitro.by,,цистатин с cystatin c,48.51,,цистатин 3,цистатин с cystatin c,1.0000000000000002,Инвитро
55,55,invitro.by,,мочевина в моче,3.76,,,,0.5786421754559182,Инвитро
56,56,invitro.by,,мочевая кислота в моче,3.61,,"анализ крови на мочевую кислоту пурин-2,6,8-трион тригидроксипурин 2,6,8-триоксипурин гетероциклический уреид мочевины",мочевая кислота в крови uric acid,0.5800205389457938,Инвитро
57,57,invitro.by,,проба реберга,3.28,,,,0.4571889796336746,Инвитро
58,58,invitro.by,,креатинин в моче,3.28,,,,0.5155544447776281,Инвитро
59,59,invitro.by,,мочевая кислота в крови,3.0,,"анализ крови на мочевую кислоту пурин-2,6,8-трион тригидроксипурин 2,6,8-триоксипурин гетероциклический уреид мочевины",мочевая кислота в крови uric acid,0.7121982137352147,Инвитро
60,60,invitro.by,,мочевина в крови,2.76,,диамид угольной кислоты карбамид мочевина в крови азот мочевины,мочевина в крови urea,0.7710530248643357,Инвитро
61,61,invitro.by,,креатинин в крови,2.65,,"анализ крови на креатинин сывороточный креатинин креатинин сыворотки, оценка скф сreat сre blood creatinine serum creatinine serum creat",креатинин в крови creatinine,0.7567108476834523,Инвитро
62,62,invitro.by,,билирубин общий,2.83,,общий билирубин крови общий билирубин сыворотки,билирубин общий bilirubin total,0.7040834210029085,Инвитро
63,63,invitro.by,,"билирубин прямой билирубин конъюгированный, связанный",2.69,,прямой билирубин конъюгированный билирубин связанный билирубин,"билирубин прямой билирубин конъюгированный, связанный; bilirubin direct",0.8863072292411842,Инвитро
64,64,invitro.by,,триглицериды,3.47,,липиды крови нейтральные жиры тг,триглицериды triglycerides,0.7071067811865476,Инвитро
65,65,invitro.by,,холестерол общий холестерин,4.2,,"холестерол, холестерин blood cholesterol, cholesterol, chol, cholesterol total","холестерин общий холестерин, cholesterol total",0.8189593759593602,Инвитро
66,66,invitro.by,,холестерол-лпвп холестерин липопротеинов высокой плотности,4.33,,липопротеиды высокой плотности лпвп лвп хс лпвп альфа-холестерин α -холестерин high-density lipoprotein cholesterol high density lipoprotein alpha-lipoprotein cholesterol α-lipoprotein cholesterol α-lp cholesterol hdl hdl-c hdl cholesterol,"холестерин-лпвп холестерин липопротеинов высокой плотности, hdl cholesterol",0.8380419855049155,Инвитро
67,67,invitro.by,,холестерол-лпнп холестерин липопротеинов низкой плотности,3.47,,лпнп липопротеины низкой плотности лнп хс лпнп холестерин липопротеинов низкой плотности холестерол бета-липопротеидов бета-липопротеины бета-лп,"холестерин-лпнп холестерин липопротеинов низкой плотности, лпнп, cholesterol ldl",0.8674608308293857,Инвитро
68,68,invitro.by,,аполипопротеин а1,6.67,,апо а1 апопротеин а1 альфа-липопротеин α-липопротеин,аполипопротеин а1 apolipoprotein a-1,0.8247325709563161,Инвитро
69,69,invitro.by,,аполипопротеин в,5.74,,апопротеин b апо в,аполипопротеин в apolipoprotein b,0.7071067811865476,Инвитро
70,70,invitro.by,,липопротеин a,27.09,,,,0.5229970851077139,Инвитро
71,71,invitro.by,,"холестерин липопротеидов низкой плотности, прямой метод холестерин лпнп, прямой метод, ldl-cholesterol direct",3.47,,"липопротеины низкой плотности, лпнп, лнп, хс лпнп, холестерол бета-липопротеидов, бета-липопротеины, бета-лп","холестерин липопротеидов низкой плотности, прямой метод холестерин лпнп, прямой метод, ldl-cholesterol direct",1.0,Инвитро
72,72,invitro.by,,"холестерин - лпонп холестерин липопротеинов очень низкой плотности, лпонп, vldl cholesterol",3.66,,холестерин липопротеидов очень низкой плотности,"холестерин - лпонп холестерин липопротеинов очень низкой плотности, лпонп, vldl cholesterol",1.0,Инвитро
73,73,invitro.by,,"коэнзим q10, плазма coenzyme q10, coq10, plasma",115.01,,кофермент q убихинон,"коэнзим q10, плазма coenzyme q10, coq10, plasma",1.0,Инвитро
74,74,invitro.by,,"пепсиногены i и ii с расчетом соотношения пепсиноген i/пепсиноген ii pepsinogen i/pepsinogen ii, pg1/pg2",58.0,,анализ крови на пепсиноген пг ii пепсиноген 2 пг-2,пепсиноген ii pepsinogen ii,0.9192938529909074,Инвитро
75,75,invitro.by,,пепсиноген ii,29.0,,"пг i и ii пепсиноген 1, 2 пг-1, 2 зимоген пепсина","пепсиногены  i и ii с расчетом соотношения 294  пепсиноген i, 295  пепсиноген ii, pg1pg2 пепсиноген i/ пепсиноген ii",0.8988402382264913,Инвитро
76,76,invitro.by,,пепсиноген 1,29.0,,"пг i и ii пепсиноген 1, 2 пг-1, 2 зимоген пепсина","пепсиногены  i и ii с расчетом соотношения 294  пепсиноген i, 295  пепсиноген ii, pg1pg2 пепсиноген i/ пепсиноген ii",0.8014349451444903,Инвитро
77,77,invitro.by,,"альфа-амилаза порционная/суточная моча диастаза, amylase, urine/24-h urine",5.91,,диастаза сывороточная амилаза амилаза сыворотки α-amylase amy aml diastase 14-?-d-glucanohydralase serum amylase blood amylase,"альфа-амилаза диастаза, alpha-amylase",0.621406171034903,Инвитро
78,78,invitro.by,,фосфатаза щёлочная щф,3.58,,анализ крови на щелочную фосфатазу фосфатаза щёлочная alk phos alkp alpase alk phos,"фосфатаза щёлочная щф, alkaline phosphatase, alp",0.7071067811865475,Инвитро
79,79,invitro.by,,холинэстераза,3.6,,сывороточная холинэстераза холинэстераза ii бутирилхолинэстеразаbutyrylcholinesterase,"холинэстераза s-псевдохолинэстераза, холинэстераза ii, s-хэ, ацилхолин-ацилгидролаза, cholinesterase",0.6403398397079423,Инвитро
80,80,invitro.by,,лдг лактатдегидрогеназа,4.1,,,,0.5108955651288345,Инвитро
81,81,invitro.by,,липаза,4.66,,,,0.5773502691896257,Инвитро
82,82,invitro.by,,креатинкиназа-мв,8.01,,мв-изофермент креатинкиназы кк-мв кфк-мв кк-2 creatine kinase-mb ck-mb ск-2,"креатинкиназа-мв креатинфосфокиназа-мв, кк-мв, кфк-мв, creatine kinase-mb, ck-mb, кк-2",0.6607551069569237,Инвитро
83,83,invitro.by,,креатинкиназа,5.33,,,,0.3745871142179483,Инвитро
84,84,invitro.by,,гамма-глутамилтранспептидаза ггт,2.59,,гамма-глутаматтранспептидаза гамма-глютаматтрансфераза ггт гамма-глутаматтранспептидаза гамма-глутаматтрансфераза ггтпgamma-glutamyl transferase gamma-glutamyl transpeptidase ggtp gamma gt gtp,"гамма-глутамилтранспептидаза ггт, глутамилтранспептидаза, ggt, gamma-glutamyl transferase",0.7327737718599443,Инвитро
85,85,invitro.by,,альфа-амилаза панкреатическая,7.15,,анализ крови на панкреатическую амилазу α-амилаза панкреатическая p-амилаза p-тип амилазы,"альфа-амилаза панкреатическая pancreatic alpha-amylase, p-изофермент амилазы",0.7236743734451746,Инвитро
86,86,invitro.by,,альфа-амилаза диастаза,4.8,,диастаза сывороточная амилаза амилаза сыворотки α-amylase amy aml diastase 14-?-d-glucanohydralase serum amylase blood amylase,"альфа-амилаза диастаза, alpha-amylase",0.7877987259147804,Инвитро
87,87,invitro.by,,асат аспартатаминотрансфераза,2.83,,,,0.5388713249408227,Инвитро
88,88,invitro.by,,анализ на аланинаминотрансферазу — алт,2.77,,,,0.4578525087484168,Инвитро
89,89,invitro.by,,витамин в7,74.27,,,,0.563498522161043,Инвитро
90,90,invitro.by,,витамин в2,74.27,,,,0.4889004590882564,Инвитро
91,91,invitro.by,,витамин с,74.27,,,,0.4773428213369153,Инвитро
92,92,invitro.by,,витамин в3,74.27,,,,0.4872599911225276,Инвитро
93,93,invitro.by,,витамин в5,74.27,,,,0.4813930862367724,Инвитро
94,94,invitro.by,,витамин b6,74.27,,пиридоксин адермин pyridoxal 5′-phosphate plp vitamin b6 pyridoxal-5-phosphate p5p,"витамин b6, пиридоксаль-5-фосфат, плазма vitamin b6, pyridoxal-5-phosphate, plp",0.6322641801852992,Инвитро
95,95,invitro.by,,витамин в1,74.27,,,,0.4889004590882564,Инвитро
96,96,invitro.by,,витамины d2 и d3,132.03,,,,0.5543420077416812,Инвитро
97,97,invitro.by,,витамин е,64.06,,,,0.4773428213369153,Инвитро
98,98,invitro.by,,"витамин а в сыворотке ретинол, vitamin a, retinol, serum",64.06,,анализа крови на витамин а кровь на ретинол,"витамин а в сыворотке ретинол, vitamin a, retinol, serum",1.0,Инвитро
99,99,invitro.by,,"витамин к1 в сыворотке филлохинон, vitamin k1, phylloquinone, serum",60.59,,"антигеморрагический витамин 2-метил-3-фитил-1,4-нафтохинон витамин коагуляции антигеморрагический витамин фитонадионphytonadione menaphthone vit k","витамин к1 в сыворотке филлохинон, vitamin k1, phylloquinone, serum",1.0000000000000002,Инвитро
100,100,invitro.by,,"активный витамин в12, голотранскобаламин active-b12, holotranscobalamin",52.32,,холотранскобаламин холотк b12vitamin b12 holotc,"активный витамин в12, голотранскобаламин active-b12, holotranscobalamin",0.9999999999999998,Инвитро
101,101,invitro.by,,"жирные кислоты, профиль: омега-3, -6, -9, плазма fatty acids panel, omega-3, -6, -9, plasma",215.08,,омега 3 полиненасыщенные жирные кислоты полиненасыщенные жирные кислоты пнжк,"жирные кислоты, профиль: омега-3, -6, -9, плазма fatty acids panel, omega-3, -6, -9, plasma",1.0000000000000004,Инвитро
102,102,invitro.by,,омега-3 индекс omega-3 index,126.79,,индекс омега-3-полиненасыщенных жирных кислот пнжк биомаркер омега-3-пнжк n-3 fa biomarker omega-3 index membrane concentrations of n-3 fas fatty acids erythrocyte eicosapentaenoic acid plus docosahexaenoic acid,омега-3 индекс omega-3 index,1.0000000000000002,Инвитро
103,103,invitro.by,,25-oh витамин d,37.01,,"анализ крови на витамин д витамин д 25-гидроксивитамин d 25-гидроксикальциферол холекальциферол и эргокальциферол vitamin d, 25-hydroxy 25-hydroxycalciferol 25-oh-d calcidiol 25-hydroxy-vitamin d calcifidiol 25-hydroxy-vitamin d 25ohd, cholecalciferol metabolite, vitamin d3 metabolite","25­oh витамин d 25­oh vitamin d, 25oh d, 25­hydroxycalciferol",0.8570636331003618,Инвитро
104,104,invitro.by,,фолиевая кислота,28.75,,витамин в9 фолацин птериолглутаминовая кислотаvitamin b9 vitamin bc folic acid folacin pteroylglutamic acid,фолиевая кислота folic acid,0.6920254659923025,Инвитро
105,105,invitro.by,,"витамин b12 цианокобаламин, кобаламин",29.44,,кобаламин цианокобаламин антианемический витамин,"витамин b12 цианокобаламин, кобаламин, cobalamin",0.8769062233412837,Инвитро
106,106,invitro.by,,"алюминий, волосы",12.71,,,,0.3696480826935786,Инвитро
107,107,invitro.by,,"барий, волосы",12.71,,,,0.4794576141813456,Инвитро
108,108,invitro.by,,"бериллий, волосы",12.71,,анализ волос на бериллий бериллий в волосах,"бериллий, волосы beryllium, hair; be",0.6274260657971705,Инвитро
109,109,invitro.by,,"бор, волосы",12.71,,анализ волос на бор бор в волосах,"бор, волосы boron, hair; b",0.7071067811865476,Инвитро
110,110,invitro.by,,"ванадий, волосы",12.71,,анализ волос на ванадий ванадий в волосах,"ванадий, волосы vanadium, hair; v",0.7071067811865476,Инвитро
111,111,invitro.by,,"висмут, волосы",12.71,,анализ волос на висмут висмут в волосах,"висмут, волосы bismuth, hair; bi",0.6274260657971705,Инвитро
112,112,invitro.by,,"вольфрам, волосы",12.71,,,,0.4794576141813456,Инвитро
113,113,invitro.by,,"галлий, волосы",12.71,,,,0.4794576141813456,Инвитро
114,114,invitro.by,,"германий, волосы germanium, hair; ge",12.71,,анализ волос на ванадий ванадий в волосах,"ванадий, волосы vanadium, hair; v",0.6780554605583058,Инвитро
115,115,invitro.by,,"железо, волосы",12.71,,,,0.3485324069939379,Инвитро
116,116,invitro.by,,железо сыворотки,3.38,,,,0.5534902890863478,Инвитро
117,117,invitro.by,,"золото, волосы",12.71,,,,0.4794576141813456,Инвитро
118,118,invitro.by,,йод i в моче,14.25,,,,0.5216485647204986,Инвитро
119,119,invitro.by,,"йод, волосы",12.71,,,,0.4599417544146907,Инвитро
120,120,invitro.by,,"кадмий, волосы",12.71,,,,0.4794576141813456,Инвитро
121,121,invitro.by,,"калий, волосы",12.71,,,,0.3588615138511687,Инвитро
122,122,invitro.by,,"калий, натрий, хлор",3.87,,,,0.5531346904826023,Инвитро
123,123,invitro.by,,кальций ионизированный,8.91,,"анализ крови на ионизированный кальций свободный кальций ионы кальция ionized calcium test calcium, ionized serum dialyzable calcium calcium free calcium filterable сalcium unbound","кальций ионизированный ca2+, свободный кальций, free calcium, ionized calcium",0.5847743184583275,Инвитро
124,124,invitro.by,,кальций в моче,3.86,,кальций в суточной моче ионы кальция,кальций суточная моча calcium,0.6389148627460041,Инвитро
125,125,invitro.by,,кальций общий,2.84,,анализ крови на общий кальций общий кальций в сыворотке total blood calcium total calcium blood total calcium test serum total calcium tca,"кальций общий ca, calcium total",0.6184011330153059,Инвитро
126,126,invitro.by,,"кальций, волосы",12.71,,,,0.3792789285466749,Инвитро
127,127,invitro.by,,"кобальт, волосы",12.71,,,,0.4794576141813456,Инвитро
128,128,invitro.by,,"кремний, волосы",12.71,,,,0.4794576141813456,Инвитро
129,129,invitro.by,,"лантан, волосы",12.71,,,,0.4794576141813456,Инвитро
130,130,invitro.by,,"литий, волосы",12.71,,,,0.4599417544146907,Инвитро
131,131,invitro.by,,"литий, сыворотка lithium, serum",30.03,,анализ крови на литий,"литий, сыворотка lithium, serum",1.0000000000000002,Инвитро
132,132,invitro.by,,"магний, волосы",12.71,,,,0.3927656725295639,Инвитро
133,133,invitro.by,,магний,3.02,,,,0.5203607370150152,Инвитро
134,134,invitro.by,,"марганец, волосы",12.71,,,,0.4794576141813456,Инвитро
