,synonyms,analysis
14,анализ крови на легкие цепи иммуноглобулинов свободные κ и λ цепи иммуноглобулинов в крови свободные легкие цепи иммуноглобулинов в крови,"свободные легкие цепи иммуноглобулинов каппа и лямбда сыворотки с расчетом индекса каппа/лямбда serum immunoglobu-lin free light chains flc, sflc kappa and lambda, kappa/ lambda ratio"
15,общий билирубин крови общий билирубин сыворотки,билирубин общий bilirubin total
16,прямой билирубин конъюгированный билирубин связанный билирубин,"билирубин прямой билирубин конъюгированный, связанный; bilirubin direct"
17,анализ крови на желчные кислоты,желчные кислоты bile acids
18,липиды крови нейтральные жиры тг,триглицериды triglycerides
19,"холестерол, холестерин blood cholesterol, cholesterol, chol, cholesterol total","холестерин общий холестерин, cholesterol total"
20,липопротеиды высокой плотности лпвп лвп хс лпвп альфа-холестерин α -холестерин high-density lipoprotein cholesterol high density lipoprotein alpha-lipoprotein cholesterol α-lipoprotein cholesterol α-lp cholesterol hdl hdl-c hdl cholesterol,"холестерин-лпвп холестерин липопротеинов высокой плотности, hdl cholesterol"
21,лпнп липопротеины низкой плотности лнп хс лпнп холестерин липопротеинов низкой плотности холестерол бета-липопротеидов бета-липопротеины бета-лп,"холестерин-лпнп холестерин липопротеинов низкой плотности, лпнп, cholesterol ldl"
22,холестерин липопротеидов очень низкой плотности,"холестерин - лпонп холестерин липопротеинов очень низкой плотности, лпонп, vldl cholesterol"
23,апо а1 апопротеин а1 альфа-липопротеин α-липопротеин,аполипопротеин а1 apolipoprotein a-1
24,апопротеин b апо в,аполипопротеин в apolipoprotein b
25,липопротеин - а лп а лп а lipoprotein – a,"липопротеин a lipoprotein a, lpa"
26,"липопротеины низкой плотности, лпнп, лнп, хс лпнп, холестерол бета-липопротеидов, бета-липопротеины, бета-лп","холестерин липопротеидов низкой плотности, прямой метод холестерин лпнп, прямой метод, ldl-cholesterol direct"
27,электрофорез липидов электрофорез липопротеидов сыворотки фракции липидов методом электрофореза lipoprotein electrophoresis,электрофорез липопротеинов с типированием гиперлипидемий lipoprotein electrophoresis with typing of hyperlipidemias
28,глутамат-пируват-трансаминаза глутамат-пируват-трансаминаза в сыворотке сгптalanine aminotransferase serum glutamic-pyruvic transaminase sgpt alanine transaminase,"алат алт, аланинаминотрансфераза, аланинтрансаминаза, sgpt, alanine aminotransferase"
29,глутамино-щавелевоуксусная трансаминаза глутамат-оксалоацетат-трансаминаза сыворотки крови сгот l-аспартат 2-оксоглутарат аминотрансфераза гщт,"асат аст, аспартатаминотрансфераза, ast, sgot, aspartate aminotransferase"
30,диастаза сывороточная амилаза амилаза сыворотки α-amylase amy aml diastase 14-?-d-glucanohydralase serum amylase blood amylase,"альфа-амилаза диастаза, alpha-amylase"
31,анализ крови на панкреатическую амилазу α-амилаза панкреатическая p-амилаза p-тип амилазы,"альфа-амилаза панкреатическая pancreatic alpha-amylase, p-изофермент амилазы"
32,гамма-глутаматтранспептидаза гамма-глютаматтрансфераза ггт гамма-глутаматтранспептидаза гамма-глутаматтрансфераза ггтпgamma-glutamyl transferase gamma-glutamyl transpeptidase ggtp gamma gt gtp,"гамма-глутамилтранспептидаза ггт, глутамилтранспептидаза, ggt, gamma-glutamyl transferase"
33,эстераза стеапсин гидролаза эфиров глицерина,"липаза триацилглицеролацилгидролаза, lipase"
34,анализ крови на лдг лактатдегидрогеназа l-лактат над+оксидоредуктаза дегидрогеназа молочной кислоты,"лактатдегидрогеназа лдг, l-лактат, над+оксидоредуктаза, lactate dehydrogenase, ldh"
35,анализ крови на щелочную фосфатазу фосфатаза щёлочная alk phos alkp alpase alk phos,"фосфатаза щёлочная щф, alkaline phosphatase, alp"
36,анализ крови на креатинкиназу ck creatine phosphokinase cpk,"креатинкиназа креатинфосфокиназа, кк, кфк, ck, creatine kinaze"
37,мв-изофермент креатинкиназы кк-мв кфк-мв кк-2 creatine kinase-mb ck-mb ск-2,"креатинкиназа-мв креатинфосфокиназа-мв, кк-мв, кфк-мв, creatine kinase-mb, ck-mb, кк-2"
38,сывороточная холинэстераза холинэстераза ii бутирилхолинэстеразаbutyrylcholinesterase,"холинэстераза s-псевдохолинэстераза, холинэстераза ii, s-хэ, ацилхолин-ацилгидролаза, cholinesterase"
39,"пг i и ii пепсиноген 1, 2 пг-1, 2 зимоген пепсина","пепсиногены  i и ii с расчетом соотношения 294  пепсиноген i, 295  пепсиноген ii, pg1pg2 пепсиноген i/ пепсиноген ii"
40,анализ крови на пепсиноген пг ii пепсиноген 2 пг-2,пепсиноген ii pepsinogen ii
41,"анализ крови на пепсиноген зимоген пепсина pgi pgiкраткая характеристика определяемого вещества пепсиноген iпепсиногены – неактивные предшественники проферменты основного пищеварительного фермента желудка – пепсина выделяют два вида пепсиногенов, которые несколько различаются по структуре и функциональным свойствам",пепсиноген i pepsinogen i
42,кофермент q убихинон,"коэнзим q10, плазма coenzyme q10, coq10, plasma"
43,оценка окислительного стресса оценка оксидативного стресса,"антиоксидантный статус total antioxidant status, tas"
44,"анализ крови на креатинин сывороточный креатинин креатинин сыворотки, оценка скф сreat сre blood creatinine serum creatinine serum creat",креатинин в крови creatinine
45,анализ крови на скорость клубочковой фильтрации скф скорость клубочковой фильтрации по креатинину,"клубочковая фильтрация, расчет по формуле ckd-epi – креатинин egfr, estimated glomerular filtration rate, ckd-epi creatinine equation"
46,диамид угольной кислоты карбамид мочевина в крови азот мочевины,мочевина в крови urea
47,"анализ крови на мочевую кислоту пурин-2,6,8-трион тригидроксипурин 2,6,8-триоксипурин гетероциклический уреид мочевины",мочевая кислота в крови uric acid
48,цистатин 3,цистатин с cystatin c
49,"скорость клубочковой фильтрации ckd-epi, формула шварца, дети, включает определение креатинина скорость клубочковой фильтрации для детей, расчет по формуле шварца","скорость клубочковой фильтрации расчетная, по формуле шварца креатинин для детей рскф по формуле шварца, 2009 estimated glomerular filtration rate, egfr for children, schwartz 2009, «bedside» schwartz equation"
50,оценка скорости клубочковой фильтрации скф по цистатину 3 формула ckd-epi с цистатином с,"клубочковая фильтрация, расчет по формуле ckd-epi цистатин с 2012 egfr, estimated glomerular filtration rate, ckd-epi cystatin c 2012 equation"
51,"анализ крови на электролиты электролиты в сыворотке крови electrolyte panel serum electrolyte test sodium, potassium, chloride na/k/cl","калий, натрий, хлор в сыворотке крови к+, potassium, na+, sodium, сl-, chloride, serum"
52,анализ крови на общий кальций общий кальций в сыворотке total blood calcium total calcium blood total calcium test serum total calcium tca,"кальций общий ca, calcium total"
53,"анализ крови на ионизированный кальций свободный кальций ионы кальция ionized calcium test calcium, ionized serum dialyzable calcium calcium free calcium filterable сalcium unbound","кальций ионизированный ca2+, свободный кальций, free calcium, ionized calcium"
54,"анализ крови на магний общий магний ионы магния serum magnesium test magnesium test magnesium, blood serum magnesium","магний в сыворотке magnesium, serum; мg"
55,анализ крови на фосфор неорганический фосфор в крови сывороточный фосфор сывороточный фосфат inorganic phosphate phosphorus serum p po4 phosphate,"фосфор неорганический в крови phosphorus, p"
56,анализ крови на железо сывороточное железо serum iron serum fe iron fe,"железо сыворотки iron, serum; fe"
57,"анализ крови на витамин д витамин д 25-гидроксивитамин d 25-гидроксикальциферол холекальциферол и эргокальциферол vitamin d, 25-hydroxy 25-hydroxycalciferol 25-oh-d calcidiol 25-hydroxy-vitamin d calcifidiol 25-hydroxy-vitamin d 25ohd, cholecalciferol metabolite, vitamin d3 metabolite","25­oh витамин d 25­oh vitamin d, 25oh d, 25­hydroxycalciferol"
58,витамин в9 фолацин птериолглутаминовая кислотаvitamin b9 vitamin bc folic acid folacin pteroylglutamic acid,фолиевая кислота folic acid
59,кобаламин цианокобаламин антианемический витамин,"витамин b12 цианокобаламин, кобаламин, cobalamin"
60,никотиновая кислота витамин рр противопеллагрический фактор 3-пиридинкарбоновая кислота,"витамин в3 – никотинамид, плазма витамин pp, ниацин, vitamin b3 – nicotinamide, niacinamide, plasma"
61,пантотеновая кислота антидерматитный фактор,"витамин в5 – пантотеновая кислота vitamin b5, pantothenic acid"
62,пиридоксин адермин pyridoxal 5′-phosphate plp vitamin b6 pyridoxal-5-phosphate p5p,"витамин b6, пиридоксаль-5-фосфат, плазма vitamin b6, pyridoxal-5-phosphate, plp"
63,коэнзим r кофермент r,"витамин в7 – биотин витамин h, vitamin b7, biotin, vitamin h"
64,омега 3 полиненасыщенные жирные кислоты полиненасыщенные жирные кислоты пнжк,"жирные кислоты, профиль: омега-3, -6, -9, плазма fatty acids panel, omega-3, -6, -9, plasma"
65,эргокальциферол и холекальциферол витамины d2 и d3 d2 и d3 25-oh d2 и 25-он d3,"витамины d2 и d3 раздельное определение вэжх-мс/мс, сыворотка 25-hydroxyvitamin d2 and d3, hplc-ms/ms, serum"
66,"1,25-дигидроксивитамин d, 1,25-дигидроксивитамин d3, кальцитриол 1,25-dihydroxyvitamin d, 1,25oh2d, calcitriol","1,25oh2d3 – 1,25-дигидроксивитамин d3 1,25-dihydroxivitamin d3"
67,анализ крови на витамин к2,"витамин к2 менахинон-4, сыворотка менахинон mk-4, vitamin k2, menaquinone mk-4, serum"
68,анализ крови на витамин к2,"витамин к2 менахинон-7, сыворотка менахинон mk-7, vitamin k2, menaquinone mk-7, serum"
69,витамин в-2 рибофлавин в плазме крови лактофлавин флавинадениндинуклеотид фад,"витамин в2 – рибофлавин, плазма vitamin b2, riboflavin, plasma"
70,тиамин-пирофосфат анеурин старое название – аневрин b1 vitamin f aneurin thiamine diphosphate tdp,"витамин в1 – тиамин, плазма vitamin b1, thiamine, plasma"
71,холотранскобаламин холотк b12vitamin b12 holotc,"активный витамин в12, голотранскобаламин active-b12, holotranscobalamin"
72,анализа крови на витамин а кровь на ретинол,"витамин а в сыворотке ретинол, vitamin a, retinol, serum"
73,токоферол tocopherol,"витамин е в сыворотке альфа-токоферол, vitamin e, alpha-tocopherol, serum"
74,"антигеморрагический витамин 2-метил-3-фитил-1,4-нафтохинон витамин коагуляции антигеморрагический витамин фитонадионphytonadione menaphthone vit k","витамин к1 в сыворотке филлохинон, vitamin k1, phylloquinone, serum"
75,индекс омега-3-полиненасыщенных жирных кислот пнжк биомаркер омега-3-пнжк n-3 fa biomarker omega-3 index membrane concentrations of n-3 fas fatty acids erythrocyte eicosapentaenoic acid plus docosahexaenoic acid,омега-3 индекс omega-3 index
76,анализ крови на витамин с аскорбиновая кислота в крови l-аскорбиновая кислота ascorbate l-ascorbic acid,"витамин с в плазме аскорбиновая кислота, vitamin c, ascorbic acid, plasma"
77,вита пальмитат сывороточный ретинол пальмитат,"витамин а пальмитат в сыворотке ретинол пальмитат, ретинил пальмитат, vitamin a retinyl palmitate, retinol palmitate, serum"
78,провитамин а β-каротин,"бета-каротин в сыворотке beta-carotene, serum"
79,анализ крови на витамин к2,"витамин к2: мк-4 и мк-7, сыворотка vitamin k2: mk-4 and  mk-7, serum"
80,"переносчик железа сидерофилин siderophilin, transferrin tf","трансферрин сидерофилин, transferrin"
81,потенциальная способность сыворотки к связыванию железа,"латентная ненасыщенная железосвязывающая способность сыворотки крови лжсс, нжсс, unsaturated iron binding capacity, uibc"
82,анализ крови на ферритин депонированное железо индикатор запасов железа serum ferritin,ферритин ferritin
83,анализ крови на церулоплазмин ферроксидаза ceruloplasmin cp ferroxidase,церулоплазмин coeruloplasmin
84,анализ крови на гаптоглобин,гаптоглобин haptoglobin
85,анализ крови на рецепторы трансферрина растворимые трансферриновые рецепторы,"растворимые рецепторы трансферрина ртфр, soluble transferrin receptor, stfr"
86,маркер анемии хронических заболеваний,"гепсидин 25 биоактивный hepcidin 25, bioactive"
87,анализ крови на миоглобин сывороточный миоглобин мг,миоглобин myoglobin
88,"тн i вч сердечный тн i вч стн i вч tn i hs cardiac-specific troponin i, high sensitivity ctn i hs","тропонин-i, высокочувствительный troponin-i, high sensitivity, hs-tni"
89,анализ крови на мозговой n-пропептид мозговой натрийуретический пропептид мнп n-терминальный фрагмент мозгового натрийуретического пептида n-терминальный промозговой натрийуретический пептид n-концевой пропептид натрийуретического гормона в-типа b-type natriuretic peptide n-terminal pro b-type natriuretic peptide brain natriuretic peptide probnp n-terminal probnp,"натрийуретического гормона в-типа n-концевой пропептид nt-probnp, n-terminal pro-brain natriuretic peptide, pro-b-type natriuretic peptide"
90,анализ крови на эозинофильный катионный белок экб,"эозинофильный катионный белок eosinophil cationic protein, ecp"
91,анализ крови на антистрептолизин-о асло aslo antistrep antistreptolysin o titer,"антистрептолизин-о асл-о, antistreptolysin-o, aso"
92,"анализ крови на срб с-реактивный белок сыворотки кровиc-reactive protein crp, quantitative c-reactive protein test crp test","с-реактивный белок срб, crp"
93,амг альфа-2-макроглобулин α2-макроглобулин макроглобулин альфа-2,"альфа-2-макроглобулин alpha-2-macroglobulin, a2-macroglobulin, a2m, а2m"
94,α1-антитрипсин концентрация а1ат концентрация,"альфа-1-антитрипсин, концентрация  а1ат, alpha-1-antitrypsin сoncentration, a1-antitrypsin, a1a, aat"
95,"с-реактивный белок ультрачувствительный срб кардио high-sensitivity c-reactive protein hs-crp, quantitative cardio crp high-sensitivity crp ultra-sensitive crp","высокочувствительный с-реактивный белок кардио, срб высокочувствительный, high sensitivity crp, hs-crp"
96,анализ крови на прокальцитонин пкт procalcitonin pct,прокальцитонин procalcitonin
97,эозинофильный катионный белок экб эозинофильный катионный протеин экп,"эозинофильный катионный белок, immunocap® eosinophil cationic protein, immunocap® ecp"
98,анализ крови на остеокальцин ок маркер костного ремоделирования n-остеокальцин n-ок,"остеокальцин osteocalcin, костный gla белок, bone gla protein, bgp"
99,c-телопептиды коллагена i типа,"beta-cross laps с-концевые телопептиды коллагена i типа, продукт деградации коллагена в результате костной резорбции, b-crosslaps сыворотки крови, с-терминальный телопептид сыворотки, ст, b-crosslaps serum, b-сtx serum"
100,n-терминальный пропептид проколлагена 1-го типа,"маркёр формирования костного матрикса p1np n-терминальный пропептид проколлагена 1 типа, total p1np"
101,уровень апиксабана эликвис,"апиксабан, концентрация apixaban level"
102,уровень ривароксабана ксарелто,"ривароксабан, концентрация rivaroxaban level"
103,апилепсин вальпарин хр вальпроат натрия депакин депакот орфирил конвулекс конвульсофин энкорат,"вальпроевая кислота депакин, конвулекс, acidum valproicum, depakin, convulexs"
104,актинервал загретол зептол карбадак карбапин карбалепсин карзепин мазепин стазепин сторилат тимонил финзепин эпиал actinerval carbapin carbalepsine carbatrol epitol equetro finlepsin finzepin zagretol zeptol mazepine stazepine tegretol tegretol-xr,"карбамазепин финлепсин, тегретол, сarbamazepine, tegretol"
105,анализ крови на фенитоин дифентоин эпанутин гидантоинал содантон алепсин,"фенитоин дифенин, дилантин, phenytoin"
106,анализ крови на фенобарбитал дормирал седонал,"фенобарбитал люминал, phenobarbitalum"
107,анализ крови на циклоспорин,"циклоспорин cyclosporine, cyclosporine a, sandimmune"
108,"лизодрен хлордитан орто-пара-ддд 1-хлор-2-[2,2дихлор-1-4-хлорфенилэтил]бензол","митотан, плазма крови mitotane, o, p′-ddd, plasma"
109,анализ крови на такролимус такролимус-тева такропик tacrolimus fk-506 fujimycin tacrolimus-teva tacropic,"такролимус fk506, адваграф, програф, протопик, такросел advagraf, prograf, protopic, tacrosel"
110,анализ крови на литий,"литий, сыворотка lithium, serum"
111,кеппра комвирон конвилепт летирам леветинол эпитерра эпитропил эпикепран epikepran epiterra epitropil komviron konvilept levetinol letiram levetiracetam lev,"леветирацетам levetiracetam, kepprar"
112,анализ крови на ламотриджин конвульсан ламиктал ламептил ламитор ламолеп ламотрикс сейзар тригинет,"ламотриджин, лекарственный мониторинг lamotrigine"
113,афинитор сертикан,эверолимус everolimus
114,анализ мочи на каннабиноиды марихуану коноплю каннабис гашиш тетрагидроканнабинол тгк дельта-9-тетра-гидроканнабинол,каннабиноиды марихуана cannabinoids marijuana
115,опиаты в моче анализ мочи на опиаты опиаты,"опиаты opiates, urine"
116,анализ мочи на барбитураты барбитураты в моче,"барбитураты barbiturates, urine"
117,алкоголь этанол в моче анализ мочи на алкоголь определение этилового спирта в моче,"этанол алкоголь, моча ethanol alcohol, urine"
118,анализ крови на удт карбогидрат-дефицитный трансферрин углевод-дефицитный трансферрин,"углеводдефицитный трансферрин удт, carbohydrate-deficient trancferrin, cdt"
119,"комплексный анализ мочи «вредные привычки» комплексный анализ мочи на никотин, психотропные и наркотические вещества, психоактивные лекарственные препараты","«вредные привычки» анализ мочи на никотин, психотропные и наркотические вещества, психоактивные лекарственные препараты"
120,анализ мочи на наркотики и психотропы,"наркотики и психотропные вещества - скрининг анализ мочи на опиаты, амфетамин, метамфетамин, кокаин, каннабиноиды  и их метаболиты"
121,"метанефрины свободные фракционированные, суточная моча метанефрин свободный и норметанефрин свободный в моче суточная моча анализ мочи на содержание промежуточных метаболитов катехоламинов","метанефрины свободные фракционированные, 24-часовая моча metanephrines fractionated, free, 24-h urine"
122,анализ крови на удт карбогидрат-дефицитный трансферрин с электрофореграммой,углевод-дефицитный трансферрин с электрофореграммой удт carbohydrate-deficient transferrin with results on an electrophoregram cdt
123,анализ крови на актг адренокортикотропин кортикотропный гормонadrenocorticotropin corticotropin,"актг адренокортикотропный гормон, кортикотропин, adrenocorticotropic hormone, acth"
124,анализ крови на кортизол hydrocortisone compound f,"кортизол гидрокортизон, cortisol"
125,анализ мочи на кортизол анализ суточной мочи на свободный кортизол кортизол мочи hydrocortisone urine cortisol free cortisol urine test urine cortisaol test,"свободный кортизол суточная моча free cortisol, urine"
126,анализ слюны на кортизол свободный гидрокортизон свободный гидрокортизон слюны,"кортизол, слюна  cortisol, saliva"
127,анализ крови на стг анализ на гормон роста human growth hormone hgh somatotropin,"соматотропный гормон соматотропин, стг, growth hormone, gh"
128,анализ крови на фактор роста ифр-1,"соматомедин-с инсулиноподобный фактор роста i, ифр-1; insulin-like growth factor i, igf-1"
129,общий трийодтиронин общий т3,"трийодтиронин общий т3 общий, total triiodthyronine, tt3"
130,свободный трийодтиронин,"трийодтиронин свободный т3 свободный, free triiodthyronine, ft3"
131,анализ крови на общий тироксин thyroxine t4 total t4 test total t4,"тироксин общий т4 общий, тетрайодтиронин общий, total thyroxine, tt4"
132,анализ крови на свободный тироксин free t4 free form of thyroxin,"тироксин свободный т4 свободный, free thyroxine, ft4"
133,тиреостимулирующий гормон тиреотропин,"тиреотропный гормон ттг, тиротропин, thyroid stimulating hormone, tsh"
134,анализ крови на ат-тг антитела к тг аттг антитг анти-тг tg autoantibody tgab anti-tg ab atg,"антитела к тиреоглобулину ат-тг, anti-thyroglobulin autoantibodies, thyroglobulin antibodies"
135,анализа крови на ат-тпо антитела к микросомальному антигену атпо antimicrosomal antibodies antithyroid microsomal antibodies thyroid peroxidase autoantibodies tpo antibodies thyroid peroxidase test thyroid microsomal antibody thyroperoxidase antibody tpoab anti-tpo,"антитела к тиреоидной пероксидазе ат-тпо, микросомальные антитела, anti-thyroid peroxidase autoantibodies"
136,тест поглощения тиреоидных гормонов сыворотки,t-uptake тироксин связывающая способность сыворотки или плазмы человека
137,анализ крови на тиреоглобулин тироглобулин тг human thyroglobulin,"тиреоглобулин thyroglobulin, tg"
138,анализ крови на антитела к рецепторам ттг ат-рттг аутоантитела к рецепторам тиреотропного гормона тиреоидстимулирующий иммуноглобулин анти-ттгр,"антитела к рецепторам ттг thyrotropin tsh receptor antibodies, trab, serum"
139,анализ крови на кальцитонин тиреокальцитонин тирокальцитонин ткт calcitonin human calcitonin thyrocalcitonin ct,кальцитонин calcitonin
140,трийодтиронин реверсивный т3 реверсивный,реверсивный т3 реверс т3; реверсивный трийодтиронин; reverse t3; rt3
141,антимикросомальные ат антитела к микросомальному антигену тиреоцитов тиреоидные антимикросомальные антитела,"ат-маг антитела к микросомальной фракции тироцитов, амат, антимикросомальные"
142,анализ крови на паратиреоидный гормон intact pth parathormone parathyrin,"паратиреоидный гормон паратгормон, паратирин, птг, parathyroid hormone, pth"
143,анализ крови на фсг фоллитропин follicle-stimulating hormone follitropin fsh,"фолликулостимулирующий гормон фсг, follicle stimulating hormone, fsh"
144,гликопротеидный гонадотропный гормон лютеотропин лютропин luteinizing hormone lh lutropin interstitial cell stimulating hormone icsh,"лютеинизирующий гормон лг, luteinizing hormone, lh"
145,анализ крови на пролактин лактотропный гормон лактогенный гормон маммотропин маммотропный гормон lactotropin prl luteotropic hormone lth,пролактин prolactin + дополнительный тест на макропролактин при результате пролактина выше 700 мед/л
146,высокомолекулярный пролактин macroprl «big-big» prolactin «big-big» prl,макропролактин macroprolactin
147,анализ крови на эстрадиол 17-beta-estradiol,"эстрадиол e2, estradiol"
148,"прогестин, гестаген p4, pregn-4-ene-3,20-dione",прогестерон progesterone
149,оценка баланса эстрогенных метаболитов метаболиты эстрогенов и прогестерона в суточной моче,"метаболиты эстрогенов и прогестерона, 24-ч моча estrogens and progesterone metabolites, 24-h urine"
150,анализ крови на тестостерон общий тестостерон стероидный андрогенный гормон total testosterone,тестостерон testosterone
151,дгэас дэа-sо4 дэа-с,дегидроэпиандростерон-сульфат dehydroepiandrosterone sulfate
152,анализ крови на гспг секс-стероид-связывающий глобулин сссг тестостерон-эстрадиол-связывающий глобулин,"глобулин, связывающий половые гормоны гспг, sex hormone-binding globulin"
153,"анализ крови на 17-он-прогестерон 17-гидроксипрогестерон 17-опг progesterone-17-oh 17-oh progesteroneкраткая характеристика определяемого вещества 17-он-прогестерон17-он-прогестерон 17-гидроксипрогестерон – это стероид, продуцируемый в надпочечниках, половых железах и плаценте, продукт метаболических превращений прогестерона и 17-гидроксипрегненолона в надпочечниках 17-он-прогестерон при участии ферментов 21-гидроксилазы и 11-бета-гидроксилазы превращается в кортизол как в надпочечниках, так и в яичниках, 17-он-прогестерон может превращаться при действии 17,20-лиазы в андростендион – предшественник тестостерона и эстрадиола для 17-он-прогестерона характерны актг-зависимые суточные колебания аналогично кортизолу","17-он-прогестерон 17-hydroxyprogesterone, 17-ohp"
154,"продукты метаболизма андрогенов мужских половых гормонов, экскретирующиеся с мочой продукты метаболизма андрогенов",17-кс в моче 17-кетостероиды
155,"анализ крови на свободный тестостерон тестостерон свободный тестостерон прямой testosterone free, testosterone direct, unbound testosterone",свободный тестостерон free testosterone
156,3-альфа-диол глюкуронид,"андростендиол глюкуронид androstanediol glucuronide , 3-alpha-diol-g"
157,анализ крови на андростендион,андростендион androstenedione
158,дегидроэпиандростерон неконъюгированный дга дэа,"дегидроэпиандростерон дгэа, дегидроэпиандростерон неконъюгированный дгэа неконъюгированный dehydroepiandrosterone unconjugated dhea unconjugated"
159,"анализ слюны на стероидный профиль, 8 параметров стероидный профиль, 8 показателей в слюне","стероидный профиль, слюна, 8 параметров тестостерон, дегидроэпиандростерон, андростендион, кортизол, кортизон, эстрадиол, прогестерон, 17-он-прогестерон steroid panel, saliva, 8 parameters"
160,анализ крови на амг ингибирующее вещество мюллера,"антимюллеров гормон амг, anti-mullerian hormone, amh, mullerian inhibiting substance, mis"
161,"ингибитор секреции фолликулостимулирующего гормона маркер сперматогенеза у мужчин inhibin b, serum serum inhibin b",ингибин в inhibin b
162,бета-хгч общийhuman chorionic gonadotropin hcg pregnancy quantitative hcg beta hcg total beta hcg,"хорионический гонадотропин человека хгч, бета-хгч, б-хгч, human chorionic"
163,"анализ крови на papp-a протеин-а плазмы, ассоциированный с беременностью","papp-a ассоциированный с беременностью протеин-а плазмы, pregnancy-associated"
164,анализ крови на свободный хгч свободная бета-субъединица хорионического гонадотропина человека бета-хгч свободный β-хгч свободный,"свободная b-субъединица хорионического гонадотропина человека свободный b-хгч, free b-hcg"
165,prenatal screening markers for down syndrome prisca-1,"пренатальный скрининг трисомий 1 триместра беременности, prisca – 1 биохимический скрининг 1 триместра - «двойной тест» 1 триместра, расчет рисков с использованием программы prisca"
166,тройной тест второго триместра беременности,"пренатальный скрининг трисомий 2 триместра беременности, prisca-2 биохимический скрининг 2 триместра , «тройной тест» 2 триместра , расчет рисков с использованием программы prisca"
167,анализ крови на с-пептид связующий пептид соединительный пептид,с-пептид c-peptide
168,анализ крови на инсулин гормон поджелудочной железы регулятор углеводного обмена,инсулин insulin
169,"анализ крови на инсулинорезистентность оценка инсулинорезистентности глюкоза, инсулин, индекс homa-ir коэффициент инсулинорезистентности нома-ir insulin resistance insulin resistance","индекс инсулинорезистентности homa homa-ir, homeostasis model assessment of insulin resistance"
170,анализ крови на серотонин 5-гидрокситриптамин serotonin 5-ht 5-hydroxytryptamine enteramine thrombocytin 3-β-aminoethyl-5-hydroxyindole thrombotonin,"серотонин сыворотки крови serotonin, serum"
171,анализ крови на адма,"асимметричный диметиларгинин, aдma asymmetric dimethylarginine, adma"
172,анализ крови на гастрин пилорин пилорогастрин секретин желудочный,гастрин gastrin
173,анализ крови на гастрин малый гастрин гастрин с нагрузкой гастрин-17 после белковой стимуляции,гастрин-17 стимулированный
174,анализ крови на эритропоэтин эпо гемопоэтин,эритропоэтин erythropoetin
