,Unnamed: 0,index,source,chapter,analysis_name,analysis_cost,analysis_comment,best_match_synonym,best_match_analysis,similarity
33,33,33,6gkb.by,Лабораторная диагностика,микроскопическое исследование осадка в моче в норме,1.17,,,,0.582611878871094
34,34,34,6gkb.by,Лабораторная диагностика,подсчет количества форменных элементов методом нечипоренко анализ мочи по нечипоренко,2.67,,,,0.5830162910847824
35,35,35,6gkb.by,Лабораторная диагностика,определение концентрационной способности почек по зимницкому,1.59,,,,0.4299659832491749
36,36,36,6gkb.by,Лабораторная диагностика,"обнаружение трихомонад, гонококков в препаратах отделяемого мочеполовых органов, окрашеных метиленовым синим гинеколмазок на флору из 1 очага",2.83,,,,0.4082252683112698
37,37,37,6gkb.by,Лабораторная диагностика,"обнаружение трихомонад, гонококков в препаратах отделяемого мочеполовых органов, окрашеных по граму гинеколмазок на флору из 1 очага",4.35,,,,0.3671767414571617
38,38,38,6gkb.by,Лабораторная диагностика,"определение цвета, прозрачности, относительной плотности, фиброзной пленки в спинномозговой жидкости",0.53,,,,0.49201062423700703
39,39,39,6gkb.by,Лабораторная диагностика,обнаружение белка по реакции панди в спинномозговой жидкости,0.44,,,,0.6032590154146259
40,40,40,6gkb.by,Лабораторная диагностика,определение белка с сульфациловой кислотой в спинномозговой жидкости,1.03,,,,0.5376717744349055
41,41,41,6gkb.by,Лабораторная диагностика,определение кол-ва клеточных элементов цитоз и их дифференцированный подсчет в нативном препарате в спинномозговой жидкости,3.51,,,,0.3593806045825575
42,42,42,6gkb.by,Лабораторная диагностика,микроскопическое исследование в окрашеном препарате в спинномозговой жидкости,3.16,,,,0.4523996186169432
43,43,43,6gkb.by,Лабораторная диагностика,"определение кол-ва, характера, цвета, прозрачности, относительной плотности экссудантов и танссудатов",0.59,,,,0.24388762577987763
44,44,44,6gkb.by,Лабораторная диагностика,обнаружение белка по реакции ривальти экссудантов и танссудатов,1.21,,,,0.36803805947670715
45,45,45,6gkb.by,Лабораторная диагностика,микроскопическое исследование экссудантов и танссудатов,6.6,,,,0.40892489664237436
46,46,46,6gkb.by,Лабораторная диагностика,"определение кол-ва, характера, цвета, консистенции, запаха в мокроте",1.14,,,,0.279431478849197
47,47,47,6gkb.by,Лабораторная диагностика,микроскопическое исследование мокроты в нативном препарате,2.5,,,,0.2700957213594841
48,48,48,6gkb.by,Лабораторная диагностика,микроскопическое исследование в мокроте в окрашенном препарате,2.13,,,,0.344328953737841
49,49,49,6gkb.by,Лабораторная диагностика,микроскопия на кислотоустойчивые микробактерии в окрашенных по цилю-нильсену препаратах колическтвенным методом в 100 полях зрения,4.69,,,,0.46823970490652284
50,50,50,6gkb.by,Лабораторная диагностика,определение физико-химических свойств в синовиальной жидкости,2.5,,,,0.537070621212911
51,51,51,6gkb.by,Лабораторная диагностика,микроскопическое исследование с подсчетом кол-ва форменных элементов цитоз в нативном препарате в синовиальной жидкости,2.83,,,,0.3386607077891288
52,52,52,6gkb.by,Лабораторная диагностика,микроскопическое исследование в окрашеном препарате в синовиальной жидкости,2.77,,,,0.4393254416320226
53,53,53,6gkb.by,Лабораторная диагностика,"определение цвета, консистенции,запаха, примесей, слизи, рн в кале",0.36,,,,0.48349256838458915
54,54,54,6gkb.by,Лабораторная диагностика,обнаружение крови в кале ат к нв человека,4.58,,,,0.26348405593648183
55,55,55,6gkb.by,Лабораторная диагностика,"тест на кровотечение в кале лактоферин,трансферин,кальпротоксин",48.58,,,,0.2703233054738136
56,56,56,6gkb.by,Лабораторная диагностика,микроскопическое исследование кала в 3-х препаратах,5.14,,,,0.3023795198395345
57,57,57,6gkb.by,Лабораторная диагностика,обнаружение простейших в кале криптоспоридии,10.43,,анализа фекалий на простейших,анализ кала на простейшие pro stool,0.650637951787933
58,58,58,6gkb.by,Лабораторная диагностика,обнаружение простейших в кале лямблии,7.84,,,,0.4827234454545548
59,59,59,6gkb.by,Лабораторная диагностика,обнаружение яиц гельминтов методом като 1 препарат в кале,2.02,,,,0.3755866961575365
60,60,60,6gkb.by,Лабораторная диагностика,исследование соскоба на энтеробиоз в 3-х препаратах,2.77,,,,0.302666779081015
61,61,61,6gkb.by,Лабораторная диагностика,подсчет ретикулоцитов в крови*,4.29,,,,0.48609186751536804
62,62,62,6gkb.by,Лабораторная диагностика,подсчет эритроцитов с базофильной зернистостью в крови,2.93,,,,0.276983319554661
63,63,63,6gkb.by,Лабораторная диагностика,подсчет тромбоцитов крови в окрашеных мазках по фонио,3.34,,"анализ крови на тромбоциты тромбоциты, микроскопия метод фонио","тромбоциты, микроскопия подсчет в окрашенном мазке по методу фонио",0.8626444589445932
64,64,64,6gkb.by,Лабораторная диагностика,определение скорости оседания эритроцитов в крови соэ,1.99,,,,0.6181325986745871
65,65,65,6gkb.by,Лабораторная диагностика,подсчет лейкоцитарной формулы с описанием морфологии форменных элементов крови для негематологических заболеваний,2.51,,,,0.3307634480525287
66,66,66,6gkb.by,Лабораторная диагностика,подсчет le-клеток по новоселовой,11.8,,,,0.3318096547418803
67,67,67,6gkb.by,Лабораторная диагностика,исследование крови на малярийные паразиты с приготовление толстой капли,5.32,,,,0.2548939971929982
68,68,68,6gkb.by,Лабораторная диагностика,исследование крови на малярийные паразиты в окрашеном мазке,4.54,,,,0.43185018118865826
69,69,69,6gkb.by,Лабораторная диагностика,"исследование крови с использованием гематологических анализаторов автоматических,с дифференцировкой лейкоцитарной формулы",4.08,,,,0.444578688077217
70,70,70,6gkb.by,Лабораторная диагностика,"тропонин, миоглобин, мв-фракции креатинфосфокиназы количественное определение одновременное кардиомаркеров, метод сухой химии",43.5,,,,0.378954814894807
71,71,71,6gkb.by,Лабораторная диагностика,тропонин ультрачувствительный в венозной крови определение кардиомаркеров иммунохимическим методом,17.99,,,,0.21924439083212116
72,72,72,6gkb.by,Лабораторная диагностика,миоглобин в венозной крови определение кардиомаркеров иммунохимическим методом*,22.54,,,,0.3689254853300515
73,73,73,6gkb.by,Лабораторная диагностика,кфк-мв концентрация по массе в венозной крови определение кардиомаркеров иммунохимическим методом,17.57,,,,0.39537452277021107
74,74,74,6gkb.by,Лабораторная диагностика,bnp мозговой натрийуретический пептид в венозной крови определение кардиомаркеров иммунохимическим методом,47.97,,,,0.3255523202809173
75,75,75,6gkb.by,Лабораторная диагностика,nt- probnp про-мозговой натрийуретический пептид в венозной крови определение кардиомаркеров иммунохимическим методом*,40.26,,,,0.2743842795818054
76,76,76,6gkb.by,Лабораторная диагностика,"альфа-фетопротеин афп определение канцеромаркеров онкомаркеров методом иммуноферментного анализа, автоматизированный расчет*",16.06,,,,0.5608257368793508
77,77,77,6gkb.by,Лабораторная диагностика,"канцероэмбриональный антиген кэа определение канцеромаркеров онкомаркеров методом иммуноферментного анализа, автоматизированный расчет*",16.39,,,,0.28833807589344035
78,78,78,6gkb.by,Лабораторная диагностика,"са 19-9 определение канцеромаркеров онкомаркеров методом иммуноферментного анализа, автоматизированный расчет*",30.12,,,,0.3660435571994908
79,79,79,6gkb.by,Лабораторная диагностика,"са - 125 определение канцеромаркеров онкомаркеров методом иммуноферментного анализа, автоматизированный расчет*",29.57,,,,0.427751363447563
80,80,80,6gkb.by,Лабораторная диагностика,са 15- 3 определение канцеромаркеров онкомаркеров методом иммуноферментного анализа автоматизированный расчет*,18.43,,,,0.4022751420603325
81,81,81,6gkb.by,Лабораторная диагностика,"простатический антиген общий пса определение канцеромаркеров онкомаркеров методом иммуноферментного анализа, автоматизированный расчет*",17.74,,,,0.4794272929333552
82,82,82,6gkb.by,Лабораторная диагностика,"простатический антиген свободный свпса определение канцеромаркеров онкомаркеров методом иммуноферментного анализа, автоматизированный расчет*",19.8,,,,0.23400055103325562
83,83,83,6gkb.by,Лабораторная диагностика,в-2-микроглобулин,11.39,,,,0.0
84,84,84,6gkb.by,Лабораторная диагностика,са 242*,16.99,,анализ крови на са-242 углеводный антиген 242 раковый антиген са 242 cancer antigen 242 carbohydrate antigen 242,"ca-242 углеводный антиген са-242, опухолевый маркёр ca-242, cancer antigen 242, ca 242",0.7056431776569227
85,85,85,6gkb.by,Лабораторная диагностика,cyfra 21-1*,25.54,,,,0.6259806012874898
86,86,86,6gkb.by,Лабораторная диагностика,he-4*,31.85,,,,0.0
87,87,87,6gkb.by,Лабораторная диагностика,определение кальцитонина,18.09,,анализ крови на кальцитонин тиреокальцитонин тирокальцитонин ткт calcitonin human calcitonin thyrocalcitonin ct,кальцитонин calcitonin,0.7071067811865476
88,88,88,6gkb.by,Лабораторная диагностика,гликированный гемоглобин hb a1 определение концентрации гликированного гемоглобина*,7.78,,,,0.5393132283015867
89,89,89,6gkb.by,Лабораторная диагностика,общий белок биохимический анализ крови*,0.6,,,,0.5862612607757435
90,90,90,6gkb.by,Лабораторная диагностика,альбумин биохимический анализ крови*,0.5,,,,0.23310135833318688
91,91,91,6gkb.by,Лабораторная диагностика,креатинин биохимический анализ крови*,1.29,,,,0.5530999750431512
92,92,92,6gkb.by,Лабораторная диагностика,мочевина биохимический анализ крови*,0.72,,,,0.5951265963594206
93,93,93,6gkb.by,Лабораторная диагностика,мочевая кислота биохимический анализ крови*,0.65,,,,0.5811583198202737
94,94,94,6gkb.by,Лабораторная диагностика,общий холестерин биохимический анализ крови*,0.73,,,,0.5805506355627315
95,95,95,6gkb.by,Лабораторная диагностика,холестерин высокой плотности лпвп hdl биохимический анализ крови*,1.65,,липопротеиды высокой плотности лпвп лвп хс лпвп альфа-холестерин α -холестерин high-density lipoprotein cholesterol high density lipoprotein alpha-lipoprotein cholesterol α-lipoprotein cholesterol α-lp cholesterol hdl hdl-c hdl cholesterol,"холестерин-лпвп холестерин липопротеинов высокой плотности, hdl cholesterol",0.7573594234637318
96,96,96,6gkb.by,Лабораторная диагностика,холестерин низкой плотности лпнп ldl биохимический анализ крови*,4.06,,лпнп липопротеины низкой плотности лнп хс лпнп холестерин липопротеинов низкой плотности холестерол бета-липопротеидов бета-липопротеины бета-лп,"холестерин-лпнп холестерин липопротеинов низкой плотности, лпнп, cholesterol ldl",0.7685775793053031
97,97,97,6gkb.by,Лабораторная диагностика,глюкоза в сыворотке биохимический анализ крови*,0.42,,,,0.5040308026947145
98,98,98,6gkb.by,Лабораторная диагностика,общий билирубин биохимический анализ крови*,0.47,,,,0.5180738868238771
99,99,99,6gkb.by,Лабораторная диагностика,прямой билирубин биохимический анализ крови*,0.62,,,,0.5243127830786071
100,100,100,6gkb.by,Лабораторная диагностика,кальций биохимический анализ крови*,0.71,,,,0.33404374166213113
101,101,101,6gkb.by,Лабораторная диагностика,калий биохимический анализ крови*,1.25,,,,0.27865016861357705
102,102,102,6gkb.by,Лабораторная диагностика,натрий биохимический анализ крови*,1.25,,,,0.30261180206561217
103,103,103,6gkb.by,Лабораторная диагностика,хлориды биохимический анализ крови*,1.25,,,,0.21233853064914066
104,104,104,6gkb.by,Лабораторная диагностика,фосфор неорганический биохимический анализ крови*,0.46,,анализ крови на фосфор неорганический фосфор в крови сывороточный фосфор сывороточный фосфат inorganic phosphate phosphorus serum p po4 phosphate,"фосфор неорганический в крови phosphorus, p",0.7118079091031311
105,105,105,6gkb.by,Лабораторная диагностика,аланинаминотрансфераза алт биохимический анализ крови*,0.57,,,,0.4265580461868405
106,106,106,6gkb.by,Лабораторная диагностика,аспартатаминотрансфераза аст биохимический анализ крови*,0.59,,,,0.4265580461868405
107,107,107,6gkb.by,Лабораторная диагностика,альфа-амилаза в сыворотке крови биохимический анализ крови*,1.25,,,,0.4115882639738511
108,108,108,6gkb.by,Лабораторная диагностика,панкреатическая амилаза биохимический анализ крови*,5.01,,,,0.5275687945641121
109,109,109,6gkb.by,Лабораторная диагностика,липаза*,1.5,,,,0.5773502691896257
110,110,110,6gkb.by,Лабораторная диагностика,щелочная фосфатаза определение активности биохимический анализ крови*,0.66,,,,0.42190687839036106
111,111,111,6gkb.by,Лабораторная диагностика,гамма-глютаминтранспептидаза ггтп определение активности биохимический анализ крови*,0.82,,,,0.2181909711967008
112,112,112,6gkb.by,Лабораторная диагностика,hbdh определение активности биохимический анализ крови*,1.28,,,,0.264098447328392
113,113,113,6gkb.by,Лабораторная диагностика,лактатдегидрогеназа лдг определение активности биохимический анализ крови*,0.77,,,,0.40038716921865125
114,114,114,6gkb.by,Лабораторная диагностика,кфк креатинфосфокиназа определение активности биохимический анализ крови*,1.14,,,,0.37616073612849915
115,115,115,6gkb.by,Лабораторная диагностика,кфк-мв определение активности биохимический анализ крови*,4.28,,,,0.4762872088886271
116,116,116,6gkb.by,Лабораторная диагностика,сывороточное железо в сыворотке крови определение уровня биохимический анализ крови*,2.57,,,,0.32090397383559033
117,117,117,6gkb.by,Лабораторная диагностика,триглицериды биохимический анализ крови*,1.09,,,,0.4776137163393786
118,118,118,6gkb.by,Лабораторная диагностика,ферритин биохимический анализ крови*,7.68,,,,0.4776137163393786
119,119,119,6gkb.by,Лабораторная диагностика,трансферрин биохимический анализ крови*,6.18,,,,0.3378031522208186
120,120,120,6gkb.by,Лабораторная диагностика,миоглобин биохимический анализ крови*,16.87,,,,0.4776137163393786
121,121,121,6gkb.by,Лабораторная диагностика,микроальбумин в моче*,4.7,,"клинический анализ мочи оам complete urinalysis urinalysis, complete with microscopic examination urinalysis complete urn",анализ мочи общий анализ мочи с микроскопией осадка,0.6441156283282832
122,122,122,6gkb.by,Лабораторная диагностика,магний биохимический анализ крови*,0.92,,,,0.35149287821841346
123,123,123,6gkb.by,Лабораторная диагностика,апопротеин а1 биохимический анализ крови*,6.75,,,,0.4054812245700595
124,124,124,6gkb.by,Лабораторная диагностика,апопротеин в биохимический анализ крови*,6.31,,,,0.21233853064914066
125,125,125,6gkb.by,Лабораторная диагностика,медь биохимический анализ крови*,3.83,,,,0.32525423628731376
126,126,126,6gkb.by,Лабораторная диагностика,альфа - 1 - антитрипсин биохимический анализ крови,14.72,,,,0.27877214109684995
127,127,127,6gkb.by,Лабораторная диагностика,церуллоплазмин биохимический анализ крови*,7.63,,,,0.21233853064914066
128,128,128,6gkb.by,Лабораторная диагностика,глюкоза глюкозотолерантный тест - гтт 2-х кратный,5.07,,,,0.6029860845647969
129,129,129,6gkb.by,Лабораторная диагностика,фруктозамин,5.16,,анализ крови на фруктозамин гликозилированный белок сыворотки,фруктозамин fructosamine,0.7071067811865476
130,130,130,6gkb.by,Лабораторная диагностика,цистатин с*,10.2,,цистатин 3,цистатин с cystatin c,0.7071067811865476
131,131,131,6gkb.by,Лабораторная диагностика,"общая железосвязывающая способность ожсс,uibc*",7.03,,,,0.46733967957577965
132,132,132,6gkb.by,Лабораторная диагностика,определение глюкозы в цельной крови экспресс методом,3.29,,,,0.4182482964323374
133,133,133,6gkb.by,Лабораторная диагностика,определение показателей кислотно-основного состояния кос,31.79,,,,0.17416462007754407
134,134,134,6gkb.by,Лабораторная диагностика,определение показателей кислотно-основного состояния крови посредством автоматических анализаторов кщс,31.81,,,,0.17201187599774628
135,135,135,6gkb.by,Лабораторная диагностика,эстрадиол определение половых гормонов *,9.17,,,,0.3612859577078319
136,136,136,6gkb.by,Лабораторная диагностика,фолликулстимулирующий гормон fsh определение половых гормонов фг*,9.17,,,,0.4357578369404823
137,137,137,6gkb.by,Лабораторная диагностика,лютеинизирующий гормон определение половых гормонов  лг*,9.17,,,,0.6164635683662653
138,138,138,6gkb.by,Лабораторная диагностика,прогестерон определение половых гормонов пгн,9.17,,,,0.40630195732419216
139,139,139,6gkb.by,Лабораторная диагностика,пролактин определение половых гормонов плн*,11.09,,,,0.3969960837470337
140,140,140,6gkb.by,Лабораторная диагностика,тестостерон определение половых гормонов тстн*,15.4,,,,0.423712007762179
141,141,141,6gkb.by,Лабораторная диагностика,хорионический гонадотропин или его бета-субъединица определение половых гормонов хгч или b-хгч*,10.64,,бета-хгч общийhuman chorionic gonadotropin hcg pregnancy quantitative hcg beta hcg total beta hcg,"хорионический гонадотропин человека хгч, бета-хгч, б-хгч, human chorionic",0.7671426695552974
142,142,142,6gkb.by,Лабораторная диагностика,"тиреотропный гормон tsh определение гормонов, щитовидная железа ттг*",6.28,,,,0.5974403314447618
143,143,143,6gkb.by,Лабораторная диагностика,"свободный тироксин определение гормонов, щитовидная железа ft4*",6.46,,,,0.5553484673367586
144,144,144,6gkb.by,Лабораторная диагностика,"свободный трийодтиронин определение гормонов, щитовидная железа ft3*",7.66,,,,0.5585320717500541
145,145,145,6gkb.by,Лабораторная диагностика,"прокальцитонин определение гормонов, прочие пкцн",36.9,,,,0.5602823704039424
146,146,146,6gkb.by,Лабораторная диагностика,"кортизол определение гормонов, прочие крл",22.2,,,,0.40598915184790924
147,147,147,6gkb.by,Лабораторная диагностика,"анти -тг антитела к тироглобулину определение гормонов, щитовидная железа анти-тг*",11.02,,,,0.270776655789525
148,148,148,6gkb.by,Лабораторная диагностика,дгэа -so4,27.14,,,,0.4831707734953025
149,149,149,6gkb.by,Лабораторная диагностика,17-он прогестерон,8.46,,"анализ крови на 17-он-прогестерон 17-гидроксипрогестерон 17-опг progesterone-17-oh 17-oh progesteroneкраткая характеристика определяемого вещества 17-он-прогестерон17-он-прогестерон 17-гидроксипрогестерон – это стероид, продуцируемый в надпочечниках, половых железах и плаценте, продукт метаболических превращений прогестерона и 17-гидроксипрегненолона в надпочечниках 17-он-прогестерон при участии ферментов 21-гидроксилазы и 11-бета-гидроксилазы превращается в кортизол как в надпочечниках, так и в яичниках, 17-он-прогестерон может превращаться при действии 17,20-лиазы в андростендион – предшественник тестостерона и эстрадиола для 17-он-прогестерона характерны актг-зависимые суточные колебания аналогично кортизолу","17-он-прогестерон 17-hydroxyprogesterone, 17-ohp",0.7952939847870133
150,150,150,6gkb.by,Лабораторная диагностика,определение паратгормона,10.36,,,,0.37244575830875815
151,151,151,6gkb.by,Лабораторная диагностика,"анти -тро антитела к тироопероксидазе определение гормонов, щитовидная железа*",13.73,,,,0.3943965832544635
152,152,152,6gkb.by,Лабораторная диагностика,определение содержания фибриногена в плазме на автоматическом коагулометре*,6.68,,,,0.45563304628941975
153,153,153,6gkb.by,Лабораторная диагностика,определение волчаночного антикоагулянта клоттинговым методом*,33.81,,,,0.5232266362035154
154,154,154,6gkb.by,Лабораторная диагностика,определение антитромбина iii ат iii,30.26,,анализ крови на антитромбин ат3,"антитромбин iii, % активности ат iii, antithrombin iii, % activity",0.9000070373477737
155,155,155,6gkb.by,Лабораторная диагностика,определение протеина с на автоматическом коагулометре,35.34,,,,0.5939851631664776
156,156,156,6gkb.by,Лабораторная диагностика,определение протеина s на автоматическом коагулометре,58.56,,,,0.5939851631664776
157,157,157,6gkb.by,Лабораторная диагностика,определение д-димеров*,26.61,,фрагмент расщепления фибрина,d-димер d-dimer,0.7071067811865476
158,158,158,6gkb.by,Лабораторная диагностика,определение д-димеров экспресс-методом иммунофлуоресцентный анализ,24.28,,,,0.4727817994269871
159,159,159,6gkb.by,Лабораторная диагностика,определение активированного частичного тромбопластинового времени на автоматическом коагулометре  ачтв *,3.98,,,,0.4529416482065911
160,160,160,6gkb.by,Лабораторная диагностика,определение протромбинового времени птв с тромбопластин кальциевой смесью с расчетом мно*,12.7,,,,0.4279867459280329
161,161,161,6gkb.by,Лабораторная диагностика,определение протромбинового времени птв с расчетом мно - экспресс-тест из капиллярной крови палец*,8.23,,,,0.3619545878754562
162,162,162,6gkb.by,Лабораторная диагностика,определение тромбинового времени тв,6.39,,,,0.3878439998835813
163,163,163,6gkb.by,Лабораторная диагностика,определение гемостаза анти-ха фактор,23.09,,,,0.256960584530725
164,164,164,6gkb.by,Лабораторная диагностика,"определение групп крови по системе аво перекрестным способом, определение резус-фактора",8.43,,,,0.4689555926962851
165,165,165,6gkb.by,Лабораторная диагностика,определение неполных резус-антител методом конглютинации,8.31,,,,0.4986340185616705
166,166,166,6gkb.by,Лабораторная диагностика,прямая проба кумбса,9.93,,,,0.47758494270082064
167,167,167,6gkb.by,Лабораторная диагностика,непрямая проба кумбса,18.69,,,,0.6365833710101242
168,168,168,6gkb.by,Лабораторная диагностика,срб общий определение индивидуальных белков сыворотки крови турбидиметрическим методом*,4.72,,,,0.2977006520555914
169,169,169,6gkb.by,Лабораторная диагностика,срб ультрачувствительный определение индивидуальных белков сыворотки крови турбидиметрическим методом,2.19,,,,0.260723680286627
170,170,170,6gkb.by,Лабораторная диагностика,иммуноглобулин а*,5.63,,антитела класса g igg общий,иммуноглобулины класса g igg,0.722259245544615
171,171,171,6gkb.by,Лабораторная диагностика,иммуноглобулин м*,5.82,,антитела класса g igg общий,иммуноглобулины класса g igg,0.722259245544615
172,172,172,6gkb.by,Лабораторная диагностика,иммуноглобулин g*,5.82,,антитела класса g igg общий,иммуноглобулины класса g igg,0.722259245544615
173,173,173,6gkb.by,Лабораторная диагностика,иммуноглобулин е*,15.01,,антитела класса g igg общий,иммуноглобулины класса g igg,0.722259245544615
174,174,174,6gkb.by,Лабораторная диагностика,определение активности анти - о - стрептолизина в сыворотке крови латекс-тестом*,4.82,,,,0.24383044174937174
175,175,175,6gkb.by,Лабораторная диагностика,"определение аутоантител к кардиолипину класса м igm методом иммуноферментного анализа, полуавтоматизированный расчет",13.35,,,,0.3899307730642648
176,176,176,6gkb.by,Лабораторная диагностика,"определение аутоантител к кардиолипину класса g igg методом иммуноферментного анализа, полуавтоматизированный расчет",13.35,,,,0.3185837282713524
177,177,177,6gkb.by,Лабораторная диагностика,"определение аутоантител к бета 2-гликопротеину класса м igm методом иммуноферментного анализа, полуавтоматизированный расчет",13.35,,,,0.49202565865340786
178,178,178,6gkb.by,Лабораторная диагностика,"определение аутоантител к бета2-гликопротеину класса g igg методом иммуноферментного анализа, полуавтоматизированный расчет",13.35,,,,0.34463686234101776
179,179,179,6gkb.by,Лабораторная диагностика,"определение аутоантител к нуклеосомам методом иммуноферментного анализа, полуавтоматизированный расчет*",13.95,,,,0.26223603275924945
180,180,180,6gkb.by,Лабораторная диагностика,определение аутоантител к двухцепочечной днк ds-dna*,13.38,,,,0.4972049031404689
181,181,181,6gkb.by,Лабораторная диагностика,определение антинуклеарных антител ana*,13.38,,,,0.4870633673177164
182,182,182,6gkb.by,Лабораторная диагностика,определение антицитоплазматических антител anca,13.38,,,,0.3297313001628518
183,183,183,6gkb.by,Лабораторная диагностика,определение антител к циклическому цитрулинированному пептиду accp*,15.63,,,,0.4300227584593662
184,184,184,6gkb.by,Лабораторная диагностика,определение аутоантител к митохондриям ама,13.33,,,,0.31955842682990054
185,185,185,6gkb.by,Лабораторная диагностика,определение аутоантител к тканевой трансглутаминазе ig а,12.74,,,,0.34639739943792325
186,186,186,6gkb.by,Лабораторная диагностика,определение аутоантител к тканевой трансглутаминазе ig g,13.32,,,,0.34639739943792325
187,187,187,6gkb.by,Лабораторная диагностика,определение антител к модифицированному цитрулинированному виментину mcv*,18.79,,,,0.3297313001628518
188,188,188,6gkb.by,Лабораторная диагностика,определение ревматоидного фактора ig m,13.32,,,,0.5331131242174143
189,189,189,6gkb.by,Лабораторная диагностика,определение аутоантител к миелопероксидазе мро,13.29,,,,0.0
